folder,role,total_files,total_dirs,direct_files,direct_dirs,size_kb,risk_flags
webapp/runtime/app,surface-shell,3,1,2,1,1.74,
webapp/shell/shims,surface-shell,4,0,4,0,3.76,
webapp/runtime/app/settings,surface-shell,1,0,1,0,0.18,
ui-kit/docs/generated,design-system,2,2,0,2,517.24,HIGH_SIZE
ui-kit/src/components,design-system,21,0,21,0,272.56,
ui-kit/src/web,design-system,6,0,6,0,114.6,
ui-kit/docs/generated/playwright-artifacts,design-system,1,0,1,0,0.04,
ui-kit/docs/generated/playwright-report,design-system,1,0,1,0,517.2,HIGH_SIZE
tools/archive/ghb-repair-20260428,tools/evidence/guards,1,0,1,0,38.84,
tools/guards/lib,tools/evidence/guards,1,0,1,0,6.25,
tools/plan/APPLY_MERGE_EXTERNAL_AGENT_SKILLS_NO_AUTO_EXIT_PACKAGE,tools/evidence/guards,2,0,2,0,28.72,
tools/plan/DSH_UI_UX_FLOW_FINAL_CLOSURE_PLAN-20260518,tools/evidence/guards,24,5,8,5,43.13,
tools/plan/bthwani_all_apps_dsh,tools/evidence/guards,16,1,4,1,439.11,
tools/plan/dsh_closure_package,tools/evidence/guards,3,0,3,0,28.62,
tools/registry/runs,tools/evidence/guards,38,2,0,2,62.65,
tools/registry/scripts,tools/evidence/guards,1,0,1,0,17.88,
tools/scripts/checks,tools/evidence/guards,2,0,2,0,32.31,
tools/registry/runs/DSH_PHASE_1_1_REGISTRY_EVIDENCE_CLOSURE-20260521-064427,tools/evidence/guards,20,0,20,0,34.94,
tools/registry/runs/DSH_PHASE_2_CROSS_SURFACE_REGISTRY_CONSUMPTION-20260521-072533,tools/evidence/guards,18,0,18,0,27.71,
tools/plan/DSH_UI_UX_FLOW_FINAL_CLOSURE_PLAN-20260518/agent-prompts,tools/evidence/guards,1,0,1,0,0.91,
tools/plan/DSH_UI_UX_FLOW_FINAL_CLOSURE_PLAN-20260518/evidence-templates,tools/evidence/guards,1,0,1,0,0.34,
tools/plan/DSH_UI_UX_FLOW_FINAL_CLOSURE_PLAN-20260518/matrices,tools/evidence/guards,1,0,1,0,19.91,
tools/plan/DSH_UI_UX_FLOW_FINAL_CLOSURE_PLAN-20260518/phases,tools/evidence/guards,10,0,10,0,1.93,
tools/plan/DSH_UI_UX_FLOW_FINAL_CLOSURE_PLAN-20260518/scripts,tools/evidence/guards,3,0,3,0,5.49,
tools/plan/bthwani_all_apps_dsh/DSH_PHASE_0_SYSTEM_AUDIT-20260521-022034,tools/evidence/guards,12,0,12,0,399.33,
snd/backend/src,backend-scope,3,0,3,0,0.3,
snd/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.16,
snd/frontend/control-panel,frontend-surface-or-shared,6,1,3,1,0.53,
snd/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.19,
snd/frontend/app-client/snd-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
snd/frontend/control-panel/community-services,frontend-surface-or-shared,3,0,3,0,0.26,
snd/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.19,
mrf/backend/src,backend-scope,3,0,3,0,0.3,
mrf/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.19,
mrf/frontend/control-panel,frontend-surface-or-shared,6,1,3,1,0.53,
mrf/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.19,
mrf/frontend/app-client/mrf-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
mrf/frontend/control-panel/community-services,frontend-surface-or-shared,3,0,3,0,0.26,
mrf/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.19,
kwd/backend/src,backend-scope,3,0,3,0,0.3,
kwd/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.19,
kwd/frontend/control-panel,frontend-surface-or-shared,6,1,3,1,0.53,
kwd/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.19,
kwd/frontend/app-client/kwd-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
kwd/frontend/control-panel/community-services,frontend-surface-or-shared,3,0,3,0,0.26,
kwd/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.19,
knz/backend/src,backend-scope,3,0,3,0,0.3,
knz/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.18,
knz/frontend/control-panel,frontend-surface-or-shared,8,2,3,1,0.65,
knz/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.19,
knz/frontend/app-client/knz-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
knz/frontend/control-panel/catalogs,frontend-surface-or-shared,5,1,3,1,0.43,
knz/frontend/control-panel/catalogs/knz-control-panel-catalogs-flow,frontend-surface-or-shared,2,0,2,0,0.17,
knz/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.19,
esf/backend/src,backend-scope,3,0,3,0,0.3,
esf/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.19,
esf/frontend/control-panel,frontend-surface-or-shared,7,1,4,1,2.97,
esf/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.19,
esf/frontend/app-client/esf-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
esf/frontend/control-panel/community-services,frontend-surface-or-shared,3,0,3,0,0.26,
esf/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.19,
dsh/backend/src,backend-scope,3,0,3,0,0.29,
dsh/frontend/app-captain,frontend-surface-or-shared,22,5,5,5,215.7,
dsh/frontend/app-client,frontend-surface-or-shared,48,6,5,6,717.9,HIGH_SIZE
dsh/frontend/app-field,frontend-surface-or-shared,25,6,6,6,136.0,
dsh/frontend/app-partner,frontend-surface-or-shared,28,5,5,5,401.72,
dsh/frontend/control-panel,frontend-surface-or-shared,127,17,5,10,1054.54,MANY_FILES;HIGH_SIZE
dsh/frontend/shared,frontend-surface-or-shared,37,0,37,0,641.8,HIGH_SIZE
dsh/frontend/app-captain/contracts,frontend-surface-or-shared,1,0,1,0,2.16,
dsh/frontend/app-captain/data,frontend-surface-or-shared,5,0,5,0,7.9,
dsh/frontend/app-captain/parts,frontend-surface-or-shared,1,0,1,0,0.42,
dsh/frontend/app-captain/screens,frontend-surface-or-shared,8,0,8,0,109.54,
dsh/frontend/app-captain/sheets,frontend-surface-or-shared,2,0,2,0,3.1,
dsh/frontend/app-client/contracts,frontend-surface-or-shared,1,0,1,0,14.02,
dsh/frontend/app-client/data,frontend-surface-or-shared,11,0,11,0,68.7,
dsh/frontend/app-client/parts,frontend-surface-or-shared,7,0,7,0,57.34,
dsh/frontend/app-client/screens,frontend-surface-or-shared,16,0,16,0,493.82,HIGH_SIZE
dsh/frontend/app-client/shared,frontend-surface-or-shared,6,0,6,0,5.19,
dsh/frontend/app-client/sheets,frontend-surface-or-shared,2,0,2,0,1.18,
dsh/frontend/app-field/contracts,frontend-surface-or-shared,1,0,1,0,0.85,
dsh/frontend/app-field/data,frontend-surface-or-shared,5,0,5,0,38.78,
dsh/frontend/app-field/parts,frontend-surface-or-shared,1,0,1,0,2.84,
dsh/frontend/app-field/screens,frontend-surface-or-shared,8,0,8,0,62.34,
dsh/frontend/app-field/sections,frontend-surface-or-shared,3,0,3,0,8.1,
dsh/frontend/app-field/types,frontend-surface-or-shared,1,0,1,0,0.46,
dsh/frontend/app-partner/contracts,frontend-surface-or-shared,1,0,1,0,2.51,
dsh/frontend/app-partner/data,frontend-surface-or-shared,2,0,2,0,1.83,
dsh/frontend/app-partner/parts,frontend-surface-or-shared,7,0,7,0,29.95,
dsh/frontend/app-partner/screens,frontend-surface-or-shared,11,0,11,0,313.81,
dsh/frontend/app-partner/sheets,frontend-surface-or-shared,2,0,2,0,3.0,
dsh/frontend/control-panel/administration,frontend-surface-or-shared,4,0,4,0,38.34,
dsh/frontend/control-panel/catalogs,frontend-surface-or-shared,8,0,8,0,78.97,
dsh/frontend/control-panel/dashboard,frontend-surface-or-shared,2,0,2,0,11.25,
dsh/frontend/control-panel/finance,frontend-surface-or-shared,12,0,12,0,64.08,
dsh/frontend/control-panel/marketing,frontend-surface-or-shared,19,0,19,0,306.9,
dsh/frontend/control-panel/operations,frontend-surface-or-shared,22,0,22,0,213.9,
dsh/frontend/control-panel/partners,frontend-surface-or-shared,9,0,9,0,65.33,
dsh/frontend/control-panel/platform,frontend-surface-or-shared,26,7,3,7,129.78,
dsh/frontend/control-panel/shared,frontend-surface-or-shared,8,0,8,0,38.23,
dsh/frontend/control-panel/support,frontend-surface-or-shared,12,0,12,0,99.57,
dsh/frontend/control-panel/platform/Appearance,frontend-surface-or-shared,4,0,4,0,9.57,
dsh/frontend/control-panel/platform/Audit,frontend-surface-or-shared,2,0,2,0,4.27,
dsh/frontend/control-panel/platform/Health,frontend-surface-or-shared,2,0,2,0,8.07,
dsh/frontend/control-panel/platform/Providers,frontend-surface-or-shared,4,0,4,0,13.95,
dsh/frontend/control-panel/platform/Rollouts,frontend-surface-or-shared,2,0,2,0,7.35,
dsh/frontend/control-panel/platform/Services,frontend-surface-or-shared,4,0,4,0,18.49,
dsh/frontend/control-panel/platform/Vars,frontend-surface-or-shared,5,0,5,0,51.12,
control-panel/runtime/app,surface-shell,13,11,2,11,4.71,
control-panel/shell/shims,surface-shell,4,0,4,0,3.76,
control-panel/runtime/app/administration,surface-shell,1,0,1,0,0.18,
control-panel/runtime/app/catalogs,surface-shell,1,0,1,0,0.16,
control-panel/runtime/app/community-services,surface-shell,1,0,1,0,0.18,
control-panel/runtime/app/dashboard,surface-shell,1,0,1,0,0.17,
control-panel/runtime/app/finance,surface-shell,1,0,1,0,0.16,
control-panel/runtime/app/hr,surface-shell,1,0,1,0,0.15,
control-panel/runtime/app/marketing,surface-shell,1,0,1,0,0.16,
control-panel/runtime/app/operations,surface-shell,1,0,1,0,1.35,
control-panel/runtime/app/partners,surface-shell,1,0,1,0,0.16,
control-panel/runtime/app/platform,surface-shell,1,0,1,0,0.16,
control-panel/runtime/app/support,surface-shell,1,0,1,0,0.16,
arb/backend/src,backend-scope,3,0,3,0,0.3,
arb/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.18,
arb/frontend/app-field,frontend-surface-or-shared,6,1,4,1,1.01,
arb/frontend/app-partner,frontend-surface-or-shared,6,1,4,1,1.03,
arb/frontend/control-panel,frontend-surface-or-shared,18,6,3,3,1.53,
arb/frontend/app-client/arb-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
arb/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.18,
arb/frontend/app-field/arb-app-field-flow,frontend-surface-or-shared,2,0,2,0,0.17,
arb/frontend/app-partner/arb-app-partner-flow,frontend-surface-or-shared,2,0,2,0,0.18,
arb/frontend/control-panel/operations,frontend-surface-or-shared,5,1,3,1,0.43,
arb/frontend/control-panel/partners,frontend-surface-or-shared,5,1,3,1,0.43,
arb/frontend/control-panel/support,frontend-surface-or-shared,5,1,3,1,0.42,
arb/frontend/control-panel/operations/arb-control-panel-operations-flow,frontend-surface-or-shared,2,0,2,0,0.18,
arb/frontend/control-panel/partners/arb-control-panel-partners-flow,frontend-surface-or-shared,2,0,2,0,0.17,
arb/frontend/control-panel/support/arb-control-panel-support-flow,frontend-surface-or-shared,2,0,2,0,0.17,
arb/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.18,
app-partner/runtime/src,surface-shell,1,1,0,1,0.36,
app-partner/runtime/src/bootstrap,surface-shell,1,0,1,0,0.36,
app-field/runtime/src,surface-shell,1,1,0,1,0.54,
app-field/runtime/src/bootstrap,surface-shell,1,0,1,0,0.54,
app-client/runtime/src,surface-shell,1,1,0,1,0.71,
app-client/runtime/src/bootstrap,surface-shell,1,0,1,0,0.71,
app-captain/runtime/.expo-export-check,surface-shell,1,0,1,0,1.33,
app-captain/runtime/src,surface-shell,1,1,0,1,0.36,
app-captain/runtime/src/bootstrap,surface-shell,1,0,1,0,0.36,
amn/backend/src,backend-scope,3,0,3,0,0.3,
amn/frontend/app-captain,frontend-surface-or-shared,6,1,4,1,1.03,
amn/frontend/app-client,frontend-surface-or-shared,8,3,4,2,3.19,
amn/frontend/control-panel,frontend-surface-or-shared,8,2,3,1,0.65,
amn/frontend/app-captain/amn-app-captain-flow,frontend-surface-or-shared,2,0,2,0,0.18,
amn/frontend/app-client/amn-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
amn/frontend/app-client/entry,frontend-surface-or-shared,2,1,0,1,2.19,
amn/frontend/control-panel/operations,frontend-surface-or-shared,5,1,3,1,0.43,
amn/frontend/control-panel/operations/amn-control-panel-operations-flow,frontend-surface-or-shared,2,0,2,0,0.18,
amn/frontend/app-client/entry/screens,frontend-surface-or-shared,2,0,2,0,2.19,
.agents/skills/bthwani-agent-governance-execution,agent-system,1,0,1,0,1.86,
.agents/skills/bthwani-agent-registry-validator,agent-system,1,0,1,0,1.86,
.agents/skills/bthwani-agent-restoration-forensics,agent-system,1,0,1,0,1.91,
.agents/skills/bthwani-agent-skill-authoring-contract,agent-system,1,0,1,0,3.29,
.agents/skills/bthwani-api-contract-client-boundary,agent-system,1,0,1,0,1.71,
.agents/skills/bthwani-commerce-catalog-contract,agent-system,1,0,1,0,1.83,
.agents/skills/bthwani-commercial-growth-contract,agent-system,1,0,1,0,3.39,
.agents/skills/bthwani-current-workspace-authority,agent-system,1,0,1,0,1.92,
.agents/skills/bthwani-data-fixture-simulation-contract,agent-system,1,0,1,0,1.76,
.agents/skills/bthwani-domain-governance-reader,agent-system,1,0,1,0,2.04,
.agents/skills/bthwani-dsh-ui-kit-golden-slice,agent-system,1,0,1,0,1.44,
.agents/skills/bthwani-finance-ledger-contract,agent-system,1,0,1,0,1.83,
.agents/skills/bthwani-frontend-design-excellence-contract,agent-system,1,0,1,0,6.31,
.agents/skills/bthwani-go-backend-target-boundary,agent-system,1,0,1,0,1.65,
.agents/skills/bthwani-integrated-system-umbrella-contract,agent-system,1,0,1,0,5.48,
.agents/skills/bthwani-local-evidence-pack,agent-system,1,0,1,0,2.62,
.agents/skills/bthwani-mobile-navigation-back-contract,agent-system,1,0,1,0,1.78,
.agents/skills/bthwani-observability-performance-contract,agent-system,1,0,1,0,1.68,
.agents/skills/bthwani-on-demand-retrieval-contract,agent-system,1,0,1,0,5.87,
.agents/skills/bthwani-operations-dispatch-contract,agent-system,1,0,1,0,1.77,
.agents/skills/bthwani-patch-review-and-evidence,agent-system,1,0,1,0,1.69,
.agents/skills/bthwani-platform-vars-control-contract,agent-system,1,0,1,0,2.1,
.agents/skills/bthwani-release-runtime-gates,agent-system,1,0,1,0,1.69,
.agents/skills/bthwani-runtime-provider-config-contract,agent-system,1,0,1,0,1.72,
.agents/skills/bthwani-screen-flow-binding-contract,agent-system,1,0,1,0,1.75,
.agents/skills/bthwani-security-secrets-privacy-contract,agent-system,1,0,1,0,1.76,
.agents/skills/bthwani-stop-slop-prose-contract,agent-system,1,0,1,0,2.97,
.agents/skills/bthwani-supply-chain-intake-contract,agent-system,1,0,1,0,1.81,
.agents/skills/bthwani-test-quality-gates-contract,agent-system,1,0,1,0,1.92,
.agents/skills/bthwani-ui-kit-surface-contract,agent-system,1,0,1,0,4.02,
.agents/skills/link-workspace-packages,agent-system,1,0,1,0,2.97,
.agents/skills/monitor-ci,agent-system,4,2,1,2,41.21,
.agents/skills/nx-generate,agent-system,1,0,1,0,7.58,
.agents/skills/nx-import,agent-system,7,1,1,1,59.29,
.agents/skills/nx-plugins,agent-system,1,0,1,0,0.35,
.agents/skills/nx-run-tasks,agent-system,1,0,1,0,2.41,
.agents/skills/nx-workspace,agent-system,2,1,1,1,8.13,
.agents/skills/monitor-ci/references,agent-system,1,0,1,0,4.82,
.agents/skills/monitor-ci/scripts,agent-system,2,0,2,0,18.57,
.agents/skills/nx-import/references,agent-system,6,0,6,0,45.7,
.agents/skills/nx-workspace/references,agent-system,1,0,1,0,0.64,
