"screen_id","canonical_name","surface","actor","screen_group","mapped_wave","execution_strategy","implementation_action","route","related_operations","source_trace"
"SCR_40","knz_listing_report","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_report","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_report.tsx"
"SCR_41","knz_listing_update","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_update.tsx"
"SCR_42","knz_listings_list","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_listings_list.tsx"
"SCR_43","knz_listings_search","app-client","customer","client_market_discovery","W01_FIRST_ACTIVE_BUNDLE","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_listings_search.tsx"
"SCR_44","knz_my_listings","app-client","customer","client_misc","W04_SUPPORT_AND_MODERATION","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/auto_knz_my_listings.tsx"
"SCR_45","knz_delivery_by_seller_notice","app-client","customer","client_misc","W04_SUPPORT_AND_MODERATION","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzDeliveryBySellerNotice.tsx"
"SCR_46","knz_listing_type_badge","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzListingTypeBadge.tsx"
"SCR_47","knz_policy_disclaimer","app-client","customer","client_misc","W04_SUPPORT_AND_MODERATION","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzPolicyDisclaimer.tsx"
"SCR_48","knz_promoted_badge","app-client","customer","client_misc","W04_SUPPORT_AND_MODERATION","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzPromotedBadge.tsx"
"SCR_49","knz_promotion_sheet","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzPromotionSheet.tsx"
"SCR_50","knz_ratings_list","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingsList.tsx"
"SCR_51","knz_rating_submit_sheet","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingSubmitSheet.tsx"
"SCR_52","knz_rating_summary","app-client","customer","client_market_actions","W02_MARKETPLACE_FLOW","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingSummary.tsx"
"SCR_53","knz_account_screen","app-client","customer","client_misc","W04_SUPPORT_AND_MODERATION","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/KnzAccountScreen.tsx"
"SCR_54","knz_page_screen","app-client","customer","client_misc","W04_SUPPORT_AND_MODERATION","rebuild_clean_ui_first","build_surface_then_bind","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","packages/surfaces/src/knz/app-client/mobile/KnzPageScreen.tsx"
"SCR_55","knz_listing_create_screen","control-panel","ops|admin","control_moderation_ops","W04_SUPPORT_AND_MODERATION","contract_first_binding_first","bind_then_surface","no_route_component","knz_listing_create","packages/surfaces/src/web/control-panel/operations/knz/KnzListingCreateScreen.tsx"
"SCR_56","knz_listing_delete_screen","control-panel","ops|admin","control_moderation_ops","W04_SUPPORT_AND_MODERATION","contract_first_binding_first","bind_then_surface","no_route_component","knz_moderation_action|knz_moderation_scan_submit","packages/surfaces/src/web/control-panel/operations/knz/KnzListingDeleteScreen.tsx"
"SCR_57","knz_listings_list_screen","control-panel","ops|admin","control_moderation_ops","W04_SUPPORT_AND_MODERATION","contract_first_binding_first","bind_then_surface","no_route_component","knz_listings_list","packages/surfaces/src/web/control-panel/operations/knz/KnzListingsListScreen.tsx"
"SCR_58","knz_listing_update_screen","control-panel","ops|admin","control_moderation_ops","W04_SUPPORT_AND_MODERATION","contract_first_binding_first","bind_then_surface","no_route_component","knz_moderation_action|knz_moderation_scan_submit","packages/surfaces/src/web/control-panel/operations/knz/KnzListingUpdateScreen.tsx"

