"screen_id","canonical_name","surface","actor","route","related_operations","primary_cta","states","donor_trace"
"SCR_40","knz_listing_report","app-client","customer","no_route_component","knz_listing_report","open_listing","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_report.tsx"
"SCR_41","knz_listing_update","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","execute_update","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listing_update.tsx"
"SCR_42","knz_listings_list","app-client","customer","no_route_component","knz_listings_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listings_list.tsx"
"SCR_43","knz_listings_search","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_search_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_listings_search.tsx"
"SCR_44","knz_my_listings","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_my","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/auto_knz_my_listings.tsx"
"SCR_45","knz_delivery_by_seller_notice","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_delivery","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzDeliveryBySellerNotice.tsx"
"SCR_46","knz_listing_type_badge","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_listing","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzListingTypeBadge.tsx"
"SCR_47","knz_policy_disclaimer","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_policy","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzPolicyDisclaimer.tsx"
"SCR_48","knz_promoted_badge","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_promoted","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzPromotedBadge.tsx"
"SCR_49","knz_promotion_sheet","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_promotion","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzPromotionSheet.tsx"
"SCR_50","knz_ratings_list","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingsList.tsx"
"SCR_51","knz_rating_submit_sheet","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","execute_submit","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingSubmitSheet.tsx"
"SCR_52","knz_rating_summary","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_rating","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/components/KnzRatingSummary.tsx"
"SCR_53","knz_account_screen","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_account","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/KnzAccountScreen.tsx"
"SCR_54","knz_page_screen","app-client","customer","no_route_component","knz_listing_create|knz_listing_report|knz_listings_list","open_page","loading|empty|error|success|offline|disabled","packages/surfaces/src/knz/app-client/mobile/KnzPageScreen.tsx"
"SCR_55","knz_listing_create_screen","control-panel","ops|admin","no_route_component","knz_listing_create","execute_create","loading|empty|error|success|offline|disabled","packages/surfaces/src/web/control-panel/operations/knz/KnzListingCreateScreen.tsx"
"SCR_56","knz_listing_delete_screen","control-panel","ops|admin","no_route_component","knz_moderation_action|knz_moderation_scan_submit","execute_delete","loading|empty|error|success|offline|disabled","packages/surfaces/src/web/control-panel/operations/knz/KnzListingDeleteScreen.tsx"
"SCR_57","knz_listings_list_screen","control-panel","ops|admin","no_route_component","knz_listings_list","open_list_view","loading|empty|error|success|offline|disabled","packages/surfaces/src/web/control-panel/operations/knz/KnzListingsListScreen.tsx"
"SCR_58","knz_listing_update_screen","control-panel","ops|admin","no_route_component","knz_moderation_action|knz_moderation_scan_submit","execute_update","loading|empty|error|success|offline|disabled","packages/surfaces/src/web/control-panel/operations/knz/KnzListingUpdateScreen.tsx"

