"screen_or_wave_id","required_token_group","required_layout_primitives","required_cards","required_inputs","required_feedback_patterns","required_navigation_patterns","required_sheet_modal_patterns","required_state_shells","missing_now","must_build_before_screen","status"
"SCR_28","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_32","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_33","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_45","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_37","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_38","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_39","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_40","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_46","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_41","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_44","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_54","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_47","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_48","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_49","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_51","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_52","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_50","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_55","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_56","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_58","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_57","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
"SCR_26","semantic colors + spacing + typography","stack|row|grid|sheet","store_card|order_card|status_card","search|text_input|number_input|selector","toast|inline_error|banner_notice","tabs|stack_push|back","confirm|action_sheet","loading|empty|error|offline|disabled","derive_from_wave_bundle","yes","required"
