"queue_order","wave_id","item_id","item_type","canonical_name","surface","owner_layer","target_repo_path","files_to_touch","depends_on","opens_next","ui_kit_prereq","contract_prereq","binding_prereq","runtime_prereq","acceptance_gate","status","blocked_by","notes"
"12","W03_CONTROL_PANEL_CORE","SCR_23","screen","amn_control_analytics_hub","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_analytics_hub","packages/surfaces/src/amn/amn_control_analytics_hub.tsx|docs/services/amn/screens/amn_control_analytics_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"13","W03_CONTROL_PANEL_CORE","SCR_22","screen","amn_control_finance_hub","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_finance_hub","packages/surfaces/src/amn/amn_control_finance_hub.tsx|docs/services/amn/screens/amn_control_finance_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"14","W03_CONTROL_PANEL_CORE","SCR_20","screen","amn_control_operations_hub","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_operations_hub","packages/surfaces/src/amn/amn_control_operations_hub.tsx|docs/services/amn/screens/amn_control_operations_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"15","W03_CONTROL_PANEL_CORE","SCR_25","screen","amn_control_quality_hub","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_quality_hub","packages/surfaces/src/amn/amn_control_quality_hub.tsx|docs/services/amn/screens/amn_control_quality_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"16","W03_CONTROL_PANEL_CORE","SCR_24","screen","amn_control_security_hub","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_security_hub","packages/surfaces/src/amn/amn_control_security_hub.tsx|docs/services/amn/screens/amn_control_security_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"17","W03_CONTROL_PANEL_CORE","SCR_21","screen","amn_control_support_hub","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_support_hub","packages/surfaces/src/amn/amn_control_support_hub.tsx|docs/services/amn/screens/amn_control_support_hub.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"18","W03_CONTROL_PANEL_CORE","SCR_8","screen","amn_control_panel_finance_analytics","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_panel_finance_analytics","packages/surfaces/src/amn/amn_control_panel_finance_analytics.tsx|docs/services/amn/screens/amn_control_panel_finance_analytics.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"19","W03_CONTROL_PANEL_CORE","SCR_9","screen","amn_control_panel_operations","control-panel","packages/surfaces","packages/surfaces/src/amn/amn_control_panel_operations","packages/surfaces/src/amn/amn_control_panel_operations.tsx|docs/services/amn/screens/amn_control_panel_operations.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"20","W04_SUPPORT_AND_MODERATION","SCR_1","screen","amn_captain_captains_nearby","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_captain_captains_nearby","packages/surfaces/src/amn/amn_captain_captains_nearby.tsx|docs/services/amn/screens/amn_captain_captains_nearby.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"21","W04_SUPPORT_AND_MODERATION","SCR_2","screen","amn_captain_offers_list","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_captain_offers_list","packages/surfaces/src/amn/amn_captain_offers_list.tsx|docs/services/amn/screens/amn_captain_offers_list.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"22","W04_SUPPORT_AND_MODERATION","SCR_3","screen","amn_captain_status_update","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_captain_status_update","packages/surfaces/src/amn/amn_captain_status_update.tsx|docs/services/amn/screens/amn_captain_status_update.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"23","W04_SUPPORT_AND_MODERATION","SCR_4","screen","amn_captain_tier_evaluate","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_captain_tier_evaluate","packages/surfaces/src/amn/amn_captain_tier_evaluate.tsx|docs/services/amn/screens/amn_captain_tier_evaluate.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"24","W04_SUPPORT_AND_MODERATION","SCR_5","screen","amn_captain_tier_info","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_captain_tier_info","packages/surfaces/src/amn/amn_captain_tier_info.tsx|docs/services/amn/screens/amn_captain_tier_info.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"25","W04_SUPPORT_AND_MODERATION","SCR_6","screen","amn_captain_trip_assigned_get","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_captain_trip_assigned_get","packages/surfaces/src/amn/amn_captain_trip_assigned_get.tsx|docs/services/amn/screens/amn_captain_trip_assigned_get.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"
"26","W04_SUPPORT_AND_MODERATION","SCR_26","screen","amn_trip_track_get","app-captain","packages/surfaces","packages/surfaces/src/amn/amn_trip_track_get","packages/surfaces/src/amn/amn_trip_track_get.tsx|docs/services/amn/screens/amn_trip_track_get.md","ui_kit_primitives","next_queue_item","state_shells|form_controls|feedback_patterns","operation_catalog_locked","client_chain_locked","runtime_vars_locked","gate_a_b_c_passed","ready","","sequenced"

