"entity_id","entity_type","canonical_name","disposition","owner_layer","target_repo_path","target_wave"
"ENT_16","operation","amn_trip_receipt_get","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_17","operation","amn_trip_report","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_18","operation","amn_trip_status_update","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_19","operation","amn_trip_track_get","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_20","operation","amn_trip_update","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_21","operation","amn_trip_verify","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_22","operation","amn_trips_list","EXTRACT_PARTIAL","services/amn + contracts/master + packages/api-clients","services/amn + contracts/master","W02-W09"
"ENT_23","screen","amn_captain_captains_nearby","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_24","screen","amn_captain_offers_list","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_25","screen","amn_captain_status_update","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_26","screen","amn_captain_tier_evaluate","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_27","screen","amn_captain_tier_info","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_28","screen","amn_captain_trip_assigned_get","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_29","screen","amn_home","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_30","screen","amn_control_panel_finance_analytics","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_31","screen","amn_control_panel_operations","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_32","screen","amn_quote_create","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_33","screen","amn_trip_create","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_34","screen","amn_trip_estimate_get","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_35","screen","amn_trip_estimate","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_36","screen","amn_trip_get","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_37","screen","amn_trip_rate","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_38","screen","amn_trip_receipt_get","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_39","screen","amn_trip_status_update","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_40","screen","amn_trip_track","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_41","screen","amn_trips_list","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_42","screen","amn_control_operations_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_43","screen","amn_control_support_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_44","screen","amn_control_finance_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_45","screen","amn_control_analytics_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_46","screen","amn_control_security_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_47","screen","amn_control_quality_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_48","screen","amn_trip_track_get","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/amn and apps shells","W01-W04"
"ENT_49","api_client","amn_captain_offers_api","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_50","api_client","amn_api","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_51","api_client","amn_thunks","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_52","service_core","setup","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_53","controller","amn.controller","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_54","entity","ride.entity","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_55","service_core","amn.module","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_56","service_core","amn.service","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_57","service_core","index","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_58","runtime_var","var_amn_allowed_regions","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_59","runtime_var","var_amn_max_trip_duration_hours","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_60","runtime_var","var_amn_default_search_radius_km","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_61","runtime_var","var_service_max_date_range_ms","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_62","runtime_var","var_amn_allowed_payment_methods","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_63","runtime_var","var_amn_default_payment_method","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_64","runtime_var","var_amn_pricing_mode","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_65","runtime_var","var_amn_fare_per_km","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_66","runtime_var","var_amn_min_fare","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_67","runtime_var","var_amn_max_estimate_drift_percent","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_68","runtime_var","var_amn_open_destination_allowed","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_69","runtime_var","var_amn_booking_deposit_percent","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_70","runtime_var","var_amn_booking_deposit_fixed","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_71","runtime_var","var_amn_booking_cancellation_window_hours","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_72","runtime_var","var_amn_booking_refund_after_window","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"

