"operation_id","canonical_name","donor_aliases","owner","actors","surfaces","operation_type","trigger","state_effect","classification","source_trace"
"amn_trip_complete","amn_trip_complete","amn_trip_complete","services/amn","CAPTAIN_APP_CAPTAIN","app-captain","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_complete/OP_SPEC.yaml"
"amn_trip_create","amn_trip_create","amn_trip_create","services/amn","PASSENGER_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_create/OP_SPEC.yaml"
"amn_trip_get","amn_trip_get","amn_trip_get","services/amn","PASSENGER_APP_CLIENT, CAPTAIN_APP_CAPTAIN, CONTROL_PANEL_OPS","app-captain|app-client|control-panel","READ","query_or_screen_load","read_only","amn_general:read","services/amn/governance/operations/amn_trip_get/OP_RBAC_ABAC.csv"
"amn_trip_quote_create","amn_trip_quote_create","amn_trip_quote_create","services/amn","PASSENGER_APP_CLIENT","app-captain|app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip_quote:mutation","services/amn/governance/operations/amn_trip_quote_create/OP_SPEC.yaml"
"amn_trip_rate","amn_trip_rate","amn_trip_rate","services/amn","PASSENGER_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_rate/OP_SPEC.yaml"
"amn_trip_receipt_get","amn_trip_receipt_get","amn_trip_receipt_get","services/amn","PASSENGER_APP_CLIENT, CONTROL_PANEL_FINANCE","app-client|control-panel","READ","query_or_screen_load","read_only","amn_trip_receipt:read","services/amn/governance/operations/amn_trip_receipt_get/OP_SPEC.yaml"
"amn_trip_report","amn_trip_report","amn_trip_report","services/amn","PASSENGER_APP_CLIENT","app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_report/OP_SPEC.yaml"
"amn_trip_status_update","amn_trip_status_update","amn_trip_status_update","services/amn","CAPTAIN_APP_CAPTAIN","app-captain|app-client","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip_status:mutation","services/amn/governance/operations/amn_trip_status_update/OP_SPEC.yaml"
"amn_trip_track_get","amn_trip_track_get","amn_trip_track_get","services/amn","PASSENGER_APP_CLIENT, CAPTAIN_APP_CAPTAIN, CONTROL_PANEL_OPS","app-captain|app-client|control-panel","READ","query_or_screen_load","read_only","amn_general:read","services/amn/governance/operations/amn_trip_track_get/OP_RBAC_ABAC.csv"
"amn_trip_update","amn_trip_update","amn_trip_update","services/amn","CONTROL_PANEL_OPS","control-panel","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_update/OP_SPEC.yaml"
"amn_trip_verify","amn_trip_verify","amn_trip_verify","services/amn","CAPTAIN_APP_CAPTAIN","app-captain","MUTATION","primary_cta_or_workflow_step","state_mutation","amn_trip:mutation","services/amn/governance/operations/amn_trip_verify/OP_SPEC.yaml"
"amn_trips_list","amn_trips_list","amn_trips_list","services/amn","PASSENGER_APP_CLIENT","app-client","READ","query_or_screen_load","read_only","amn_trips:read","services/amn/governance/operations/amn_trips_list/OP_SPEC.yaml"

