operation_id,canonical_name,owner,actors,surfaces,operation_type,trigger,state_effect,classification,source_trace
wlt_sync_knz,wlt_sync_knz,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_integration:mutation,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
wlt_payment_methods_list,wlt_payment_methods_list,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_payment:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_intent_create,wlt_intent_create,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_payment:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_intent_confirm,wlt_intent_confirm,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_payment:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlements_list,wlt_settlements_list,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_settlement:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlement_get,wlt_settlement_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_settlement:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlement_create,wlt_settlement_create,services/wlt,partner,app-partner,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_settlement:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_balance_get,wlt_balance_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_wallet:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_topup,wlt_topup,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_wallet:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_withdraw_request,wlt_withdraw_request,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_wallet:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transfer_create,wlt_transfer_create,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_transfer:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transfers_list,wlt_transfers_list,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_transfer:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transfer_get,wlt_transfer_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_transfer:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_refund_create,wlt_refund_create,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_refund:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_refund_get,wlt_refund_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_refund:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_payout_get,wlt_payout_get,services/wlt,partner,app-partner,READ,query_or_screen_load,read_only,wlt_payout:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_payouts_list,wlt_payouts_list,services/wlt,partner,app-partner,READ,query_or_screen_load,read_only,wlt_payout:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_payout_approve,wlt_payout_approve,services/wlt,partner,app-partner,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_payout:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_partner_ledger_get,wlt_partner_ledger_get,services/wlt,partner,app-partner,READ,query_or_screen_load,read_only,wlt_partner_finance:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_partner_finance_overview,wlt_partner_finance_overview,services/wlt,partner,app-partner,READ,query_or_screen_load,read_only,wlt_partner_finance:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_account_snapshot,wlt_account_snapshot,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_addresses_addressId_deactivate_post,wlt_addresses_addressId_deactivate_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_assets:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_adjustments_post,wlt_adjustments_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_journal:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_assets_assetId_activate_post,wlt_assets_assetId_activate_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_assets:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_assets_assetId_approve_post,wlt_assets_assetId_approve_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_assets:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_assets_assetId_cancel_post,wlt_assets_assetId_cancel_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_assets:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_assets_assetId_get,wlt_assets_assetId_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_assets:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_assets_assetId_reject_post,wlt_assets_assetId_reject_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_assets:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_assets_assetId_report_post,wlt_assets_assetId_report_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_assets:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_bank_reconcile_post,wlt_bank_reconcile_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_bank:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_bankfiles_post,wlt_bankfiles_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_bank:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_disputes_id_decision_post,wlt_disputes_id_decision_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_control_panel:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_fees_vars_publish_post,wlt_fees_vars_publish_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_journal:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_hold_create,wlt_hold_create,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_hold_release,wlt_hold_release,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_intent_cancel,wlt_intent_cancel,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_intent_get,wlt_intent_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_journal_post,wlt_journal_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_journal:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_kyc_submit,wlt_kyc_submit,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_partner_settlements_list,wlt_partner_settlements_list,services/wlt,partner,app-partner,READ,query_or_screen_load,read_only,wlt_partner:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_payout_request,wlt_payout_request,services/wlt,partner,app-partner,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_partner:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_payouts_batch_id_submit_post,wlt_payouts_batch_id_submit_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_partner:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_periods_month_close_post,wlt_periods_month_close_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_journal:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_provider_charge,wlt_provider_charge,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_provider_webhook,wlt_provider_webhook,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_reconciliation_post,wlt_reconciliation_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_journal:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlements_settlementId_approve_post,wlt_settlements_settlementId_approve_post,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_control_panel:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlements_settlementId_run_post,wlt_settlements_settlementId_run_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_control_panel:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlements_settlementId_sign_post,wlt_settlements_settlementId_sign_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_control_panel:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_statements_export,wlt_statements_export,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_subscription_cancel,wlt_subscription_cancel,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_subscription_checkout,wlt_subscription_checkout,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_user:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_subscription_invoice_get,wlt_subscription_invoice_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_subscription_invoices_list,wlt_subscription_invoices_list,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_subscription_status_get,wlt_subscription_status_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_subscriptions_plans_list,wlt_subscriptions_plans_list,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transactions_list,wlt_transactions_list,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_user:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transactions_transactionId_approve_post,wlt_transactions_transactionId_approve_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_control_panel:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transactions_transactionId_sign_post,wlt_transactions_transactionId_sign_post,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_control_panel:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv

