review_id,branch,commit,surface,screen_id,file_path,queue_list,priority,state,device,viewport,locale,direction,screenshot_path,result,issue_type,issue_summary,owner_decision_required,linked_gap_ids,reviewer,reviewed_at,next_action,review_doc_path
VR-L1-011,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.dsh.entry.status,dsh/frontend/app-partner/screens/PartnerEntryScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P1__app-partner__partner.dsh.entry.status__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-017,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L1-011__partner.dsh.entry.status.md
VR-L1-012,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.dsh.home.dashboard,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P1__app-partner__partner.dsh.home.dashboard__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,true,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L1-012__partner.dsh.home.dashboard.md
VR-L1-013,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-captain,captain.dsh.orders.inbox,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-captain/P1__app-captain__captain.dsh.orders.inbox__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"ML-027 ML-024",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-captain/VR-L1-013__captain.dsh.orders.inbox.md
VR-L1-014,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-captain,captain.dsh.orders.detail,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-captain/P1__app-captain__captain.dsh.orders.detail__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,CG-016,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-captain/VR-L1-014__captain.dsh.orders.detail.md
VR-L1-015,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-field,field.dsh.stores.list,dsh/frontend/app-field/screens/DshFieldStoresScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-field/P1__app-field__field.dsh.stores.list__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,CG-024,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-field/VR-L1-015__field.dsh.stores.list.md
VR-L1-016,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-field,field.dsh.store.onboarding,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-field/P1__app-field__field.dsh.store.onboarding__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"ML-002 ML-005",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-field/VR-L1-016__field.dsh.store.onboarding.md
VR-L1-017,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-field,field.dsh.store.visit,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-field/P1__app-field__field.dsh.store.visit__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-003,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-field/VR-L1-017__field.dsh.store.visit.md
VR-L1-018,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.operations.hub,dsh/frontend/control-panel/screens/OperationsHubScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P1__control-panel__ops.dsh.operations.hub__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L1-018__ops.dsh.operations.hub.md
VR-L1-019,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.dispatch,dsh/frontend/control-panel/screens/DispatchAssignmentScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P1__control-panel__ops.dsh.dispatch__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,true,ML-036,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L1-019__ops.dsh.dispatch.md
VR-L1-020,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.exceptions,dsh/frontend/control-panel/screens/ExceptionsEscalationsScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P1__control-panel__ops.dsh.exceptions__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,true,ML-037,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L1-020__ops.dsh.exceptions.md
VR-L1-021,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.live.orders,dsh/frontend/control-panel/screens/LiveOrdersScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P1__control-panel__ops.dsh.live.orders__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L1-021__ops.dsh.live.orders.md
VR-L1-022,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.audit.sla,dsh/frontend/control-panel/screens/AuditSupportSlaScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P1__control-panel__ops.dsh.audit.sla__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-035,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L1-022__ops.dsh.audit.sla.md
VR-L2-001,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.checkout.intent,dsh/frontend/app-client/screens/DshCheckoutIntentScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P2__app-client__client.dsh.checkout.intent__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"ML-006 ML-009 ML-010",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L2-001__client.dsh.checkout.intent.md
VR-L2-002,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-captain,captain.dsh.orders.pickup-dropoff,dsh/frontend/app-captain/screens/DshCaptainPickupDropoffScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-captain/P2__app-captain__captain.dsh.orders.pickup-dropoff__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-025,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-captain/VR-L2-002__captain.dsh.orders.pickup-dropoff.md
VR-L2-003,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-captain,captain.dsh.orders.pod-submission,dsh/frontend/app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-captain/P2__app-captain__captain.dsh.orders.pod-submission__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"CG-018 ML-031",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-captain/VR-L2-003__captain.dsh.orders.pod-submission.md
VR-L2-004,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-captain,captain.dsh.orders.map,dsh/frontend/app-captain/screens/DshCaptainMapScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-captain/P2__app-captain__captain.dsh.orders.map__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-029,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-captain/VR-L2-004__captain.dsh.orders.map.md
VR-L2-005,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-field,field.dsh.store.onboarding/documents,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-field/P2__app-field__field.dsh.store.onboarding--documents__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-002,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-field/VR-L2-005__field.dsh.store.onboarding--documents.md
VR-L2-006,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-field,field.dsh.store.visit/evidence,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-field/P2__app-field__field.dsh.store.visit--evidence__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-003,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-field/VR-L2-006__field.dsh.store.visit--evidence.md
VR-L2-007,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.audit.sla/detail,dsh/frontend/control-panel/screens/AuditSupportSlaScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P2__control-panel__ops.dsh.audit.sla--detail__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-035,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L2-007__ops.dsh.audit.sla--detail.md
VR-L2-008,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.catalog.approvals.quality,dsh/frontend/control-panel/screens/ControlPanelDshCatalogScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P2__control-panel__ops.dsh.catalog.approvals.quality__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-053,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L2-008__ops.dsh.catalog.approvals.quality.md
VR-L2-009,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,control-panel,ops.dsh.catalog.approvals.pricing,dsh/frontend/control-panel/screens/ControlPanelDshCatalogScreen.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/control-panel/P2__control-panel__ops.dsh.catalog.approvals.pricing__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-054,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/control-panel/VR-L2-009__ops.dsh.catalog.approvals.pricing.md
VR-L2-010,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-captain,captain.wlt.dsh.finance.bridge,dsh/frontend/app-captain/screens/WltDshCaptainBridge.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-captain/P2__app-captain__captain.wlt.dsh.finance.bridge__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"ML-041 ML-043 ML-044",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-captain/VR-L2-010__captain.wlt.dsh.finance.bridge.md
VR-L2-011,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.wlt.dsh.wallet.bridge,dsh/frontend/app-partner/screens/WltDshPartnerBridge.tsx,LIST_2_DISABLED_PREVIEW,P2,DISABLED_PREVIEW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P2__app-partner__partner.wlt.dsh.wallet.bridge__DISABLED_PREVIEW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"ML-040 ML-042",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L2-011__partner.wlt.dsh.wallet.bridge.md
