surface,path,screen_components,import_reachability,route_ids_detected,status,notes
control-panel,control-panel/runtime/app/administration/page.tsx,AdministrationPage,AdministrationPage:imports=0,,TBD,placeholder_hits=0; components=1
app-captain,dsh/frontend/app-captain/screens/DshCaptainFinanceScreen.tsx,DshCaptainCodBalanceScreen | DshCaptainFinanceScreen,DshCaptainCodBalanceScreen:imports=1 | DshCaptainFinanceScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=6; components=2
app-captain,dsh/frontend/app-captain/screens/DshCaptainMapScreen.tsx,DshCaptainMapScreen,DshCaptainMapScreen:imports=1,bell-rang | bell_rang | enroute_to_dropoff | enroute_to_pickup,TBD,placeholder_hits=0; components=1
app-captain,dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx,DshCaptainChatReadAckScreen | DshCaptainChatSendScreen | DshCaptainSupportDirectoryScreen | SimpleSupportScreen,DshCaptainChatReadAckScreen:imports=0 | DshCaptainChatSendScreen:imports=0 | DshCaptainSupportDirectoryScreen:imports=0 | SimpleSupportScreen:imports=0,app-captain | captain-order-9021 | chat-read-ack | chat-send | delivery | delivery-failed | entry | handoff-mismatch | operations | order-accept | order-deliver | order-details | order-get | order-pickup | orders | orders-list | orders-offers-list | pickup | profile | profile-get | proof-of-delivery,WEAK_OR_TRANSITIONAL,placeholder_hits=18; components=4
app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,CaptainDeliveryConfirmSheet | CaptainOrderDetailScreen | CaptainOrdersInboxScreen | CaptainPickupConfirmSheet | ComposerActionButton | DshCaptainBellScreen | DshCaptainJobRejectScreen | DshCaptainOrderAcceptScreen | DshCaptainOrderChatScreen | DshCaptainOrderDeliverScreen,CaptainDeliveryConfirmSheet:imports=0 | CaptainOrderDetailScreen:imports=0 | CaptainOrdersInboxScreen:imports=0 | CaptainPickupConfirmSheet:imports=0 | ComposerActionButton:imports=0 | DshCaptainBellScreen:imports=0 | DshCaptainJobRejectScreen:imports=0 | DshCaptainOrderAcceptScreen:imports=0,back-to-inbox | bell | bthwani_delivery | captain-order-9021 | captain-order-9024 | captain-order-awn-3104 | captain-order-spx-2078 | chat | delivery | inbox | next-order | offer-reject | order-details | order-get | order-offer-reject | orders-list | orders-offers-list | pickup | video | videocam-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=27
app-captain,dsh/frontend/app-captain/screens/DshCaptainPickupDropoffScreen.tsx,DshCaptainPickupDropoffScreen,DshCaptainPickupDropoffScreen:imports=1,out-for-delivery | pickup,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-captain,dsh/frontend/app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,DshCaptainPoDSubmissionScreen,DshCaptainPoDSubmissionScreen:imports=1,rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=8; components=1
app-captain,dsh/frontend/app-captain/screens/DshCaptainProfileScreen.tsx,DshCaptainProfileGetScreen | DshCaptainProfileScreen | DshCaptainTierEvaluateScreen | DshCaptainTierInfoScreen | ProfileSummarySection | TierSection,DshCaptainProfileGetScreen:imports=0 | DshCaptainProfileScreen:imports=0 | DshCaptainTierEvaluateScreen:imports=0 | DshCaptainTierInfoScreen:imports=0 | ProfileSummarySection:imports=0 | TierSection:imports=0,profile-get,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=6
app-client,dsh/frontend/app-client/DshClientSurface.tsx,DshClientSurface,DshClientSurface:imports=0,bell | bthwani_delivery | client | create-order | entry | home | home-recent-order-1 | home-recent-order-2 | loyalty-points-client-balance | manual-order | order-issue-flag | order-issue-workspace | order_confirmed | order_created | orders | orders-list | partner_delivery | pickup | profile | route | store-courier-pickup | support_required | wallet | wallet-outline | wallet_credit_visible | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=33; components=1
app-client,dsh/frontend/app-client/dsh-client.routes.ts,,,bell | dsh-bell | dsh-entry | dsh-home | dsh-order-issue-workspace | dsh-order-rating | dsh-orders | dsh-wallet | entry | home | order-issue-workspace | order-rating | orders-list | wallet,WEAK_OR_TRANSITIONAL,placeholder_hits=31; components=0
app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,,,app-client | client_dsh_addresses_location_hub_view | client_dsh_appearance_hub_view | client_dsh_bell_view | client_dsh_benefits_home_view | client_dsh_cart_review_view | client_dsh_checkout_intent_view | client_dsh_commercial_hub_view | client_dsh_conversation_workspace_view | client_dsh_discovery_search_view | client_dsh_entry_view | client_dsh_home_feed_view | client_dsh_identity_hub_view | client_dsh_listing_status_update_view | client_dsh_loyalty_hub_view | client_dsh_my_space_view | client_dsh_notifications_list_view | client_dsh_order_issue_workspace_view | client_dsh_order_rating_view | client_dsh_order_smart_followup_view | client_dsh_orders_history_view | client_dsh_preferences_hub_view | client_dsh_proxy_workspace_view | client_dsh_service_settings_view | client_dsh_store_details_view | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=31; components=0
app-client,dsh/frontend/app-client/parts/AwnakOrderCreateScreen.tsx,DshAwnakOrderCreateScreen,DshAwnakOrderCreateScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=1
app-client,dsh/frontend/app-client/parts/LoyaltyRewardsScreen.tsx,DshLoyaltyRewardsScreen,DshLoyaltyRewardsScreen:imports=1,wallet-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=3; components=1
app-client,dsh/frontend/app-client/parts/OperationScreen.tsx,DshOperationScreen,DshOperationScreen:imports=15,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-client,dsh/frontend/app-client/parts/SheinOrderCreateScreen.tsx,DshSheinOrderCreateScreen,DshSheinOrderCreateScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=1
app-client,dsh/frontend/app-client/parts/SubscriptionsScreen.tsx,DshSubscriptionsScreen,DshSubscriptionsScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=1
app-client,dsh/frontend/app-client/screens/AddressLocationScreen.tsx,AddressRow | DshAddressLocationScreen,AddressRow:imports=0 | DshAddressLocationScreen:imports=1,addr-home,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=2
app-client,dsh/frontend/app-client/screens/BellScreen.tsx,BellEventRow | DshClientBellScreen,BellEventRow:imports=0 | DshClientBellScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=2
app-client,dsh/frontend/app-client/screens/BenefitsScreen.tsx,BenefitListRow | ContentCard | DshBenefitsHubScreen | ScreenHeader,BenefitListRow:imports=0 | ContentCard:imports=0 | DshBenefitsHubScreen:imports=1 | ScreenHeader:imports=1,wallet-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=8; components=4
app-client,dsh/frontend/app-client/screens/CartScreen.tsx,CartItemEditor | CartItemRow | DshCartUnifiedScreen | ExecutionSchedulePicker | InlineActionEditor | ProductPreviewModal | PromoBanner | RecommendationCard | RecommendedSection,CartItemEditor:imports=0 | CartItemRow:imports=0 | DshCartUnifiedScreen:imports=0 | ExecutionSchedulePicker:imports=0 | InlineActionEditor:imports=0 | ProductPreviewModal:imports=0 | PromoBanner:imports=0 | RecommendationCard:imports=0,bthwani_delivery | document-text-outline | official-wallets | order_confirmed | order_created | partner_delivery | pickup | wallet | wallet-topup | wallet_credit_visible,WEAK_OR_TRANSITIONAL,placeholder_hits=74; components=9
app-client,dsh/frontend/app-client/screens/DshCheckoutIntentScreen.tsx,DshCheckoutIntentScreen,DshCheckoutIntentScreen:imports=0,order-created | wallet | wallet-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-client,dsh/frontend/app-client/screens/DshRatingScreen.tsx,DshRatingScreen,DshRatingScreen:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=1
app-client,dsh/frontend/app-client/screens/EntryScreen.tsx,DshEntryScreen,DshEntryScreen:imports=2,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-client,dsh/frontend/app-client/screens/HomeScreen.tsx,CategoryHubIcon | CategoryIconImage | DshHomeGetScreen | DshServiceLauncherMark | EmptyFeed,CategoryHubIcon:imports=0 | CategoryIconImage:imports=0 | DshHomeGetScreen:imports=1 | DshServiceLauncherMark:imports=0 | EmptyFeed:imports=0,client | home | home-filter-rail | home-filter-swipe-boundary | manual-order | orders | orders-list | reorder-three-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=49; components=5
app-client,dsh/frontend/app-client/screens/MySpaceScreen.tsx,DshMySpaceOrdersScreen | DshMySpaceScreen | MySpacePrimaryRow,DshMySpaceOrdersScreen:imports=0 | DshMySpaceScreen:imports=1 | MySpacePrimaryRow:imports=0,orders | wallet | wallet-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=3
app-client,dsh/frontend/app-client/screens/MySpaceSubScreens.tsx,DshAddressesHubScreen | DshAppearanceHubScreen | DshCommercialHubScreen | DshIdentityHubScreen | DshLocationHubScreen | DshLoyaltyHubScreen | DshPreferencesHubScreen | DshSubscriptionsHubScreen | DshWalletHubScreen,DshAddressesHubScreen:imports=0 | DshAppearanceHubScreen:imports=0 | DshCommercialHubScreen:imports=0 | DshIdentityHubScreen:imports=1 | DshLocationHubScreen:imports=0 | DshLoyaltyHubScreen:imports=0 | DshPreferencesHubScreen:imports=1 | DshSubscriptionsHubScreen:imports=0,delivery,WEAK_OR_TRANSITIONAL,placeholder_hits=7; components=9
app-client,dsh/frontend/app-client/screens/NotificationsScreen.tsx,DshNotificationRow | DshNotificationsScreen,DshNotificationRow:imports=0 | DshNotificationsScreen:imports=1,bell | bthwani_delivery | order | orders-list | partner_delivery | pickup | support | wallet,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=2
app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,DshConversationHubScreen | DshListingStatusUpdateScreen | DshOrderIssueHubScreen | DshProxyHubScreen | DshServiceSettingsHubScreen | DshZoneSetScreen | OperationScreenView,DshConversationHubScreen:imports=0 | DshListingStatusUpdateScreen:imports=0 | DshOrderIssueHubScreen:imports=0 | DshProxyHubScreen:imports=0 | DshServiceSettingsHubScreen:imports=0 | DshZoneSetScreen:imports=0 | OperationScreenView:imports=0,app-client | awnak-order-create | captain-thread | chat | chat-read-ack | chat-send | client | delivery | delivery- | delivery-attempt-create | delivery-attempts-list | delivery-close | delivery-eta-get | delivery-get | delivery-reassign | delivery-track-get | external-order-create | gas-refill-order-create | loyalty-points-client-balance | loyalty-points-client-history | order | order-accept | order-cancel | order-complete | order-create | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=12; components=7
app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,CreateOrderJourneyScreen | DshIntakeHubScreen | DshOrdersListScreen | DshTrackingScreen | HorizontalMilestones | OrderCaptainChatSection | OrderRow | RatingStars | SmartTrackingCard | StageRail,CreateOrderJourneyScreen:imports=0 | DshIntakeHubScreen:imports=0 | DshOrdersListScreen:imports=1 | DshTrackingScreen:imports=1 | HorizontalMilestones:imports=0 | OrderCaptainChatSection:imports=0 | OrderRow:imports=0 | RatingStars:imports=0,arrived_at_pickup | bell_rang | bthwani_delivery | captain | captain-01 | captain_assigned | captain_heartbeat_demo | captain_not_arrived | chat-actor-1 | chat-captain-1 | chat-system-1 | chatbox-ellipses-outline | client | dsh-delivery-active | dsh-order-active | enroute | enroute_to_customer | enroute_to_dropoff | enroute_to_pickup | home-outline | intake-workspace | operations_approved | operations_review | order-active | order-confirmed | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=24; components=10
app-client,dsh/frontend/app-client/screens/SearchScreen.tsx,DshSearchScreen,DshSearchScreen:imports=1,,TBD,placeholder_hits=0; components=1
app-client,dsh/frontend/app-client/screens/StoreItemsScreen.tsx,DshStoreItemsScreen,DshStoreItemsScreen:imports=1,,TBD,placeholder_hits=0; components=1
app-client,dsh/frontend/app-client/screens/StoreScreen.tsx,DshStoreGetScreen | DshStoreGetScreenContent | MenuItemCard,DshStoreGetScreen:imports=1 | DshStoreGetScreenContent:imports=0 | MenuItemCard:imports=0,bthwani_delivery | partner | partner_delivery | pickup | reorder-three-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=158; components=3
app-field,dsh/frontend/app-field/DshFieldSurface.tsx,DshFieldSurface,DshFieldSurface:imports=0,partner-management | profile,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-field,dsh/frontend/app-field/dsh-field.routes.ts,,,dsh-field-account | dsh-field-finance | dsh-field-history | dsh-field-onboarding | dsh-field-profile | dsh-field-readiness-escalation | dsh-field-stores | dsh-field-visit | profile,WEAK_OR_TRANSITIONAL,placeholder_hits=11; components=0
app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,,,app-field | dsh-field-account | dsh-field-finance | dsh-field-history | dsh-field-onboarding | dsh-field-profile | dsh-field-readiness-escalation | dsh-field-stores | dsh-field-visit | field_dsh_account_home_view | field_dsh_account_profile_view | field_dsh_finance_overview_view | field_dsh_store_onboarding_view | field_dsh_store_readiness_escalation_view | field_dsh_store_visit_view | field_dsh_stores_history_view | field_dsh_stores_list_view | field_wlt_dsh_finance_bridge_view | wlt-dsh-field-finance-bridge,WEAK_OR_TRANSITIONAL,placeholder_hits=18; components=0
app-field,dsh/frontend/app-field/screens/DshFieldFinanceScreen.tsx,DshFieldFinanceScreen,DshFieldFinanceScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=3; components=1
app-field,dsh/frontend/app-field/screens/DshFieldProfileHomeScreen.tsx,DshFieldProfileHomeScreen,DshFieldProfileHomeScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-field,dsh/frontend/app-field/screens/DshFieldProfileScreen.tsx,DshFieldProfileScreen,DshFieldProfileScreen:imports=1,,TBD,placeholder_hits=0; components=1
app-field,dsh/frontend/app-field/screens/DshFieldReadinessEscalationScreen.tsx,DshFieldReadinessEscalationScreen,DshFieldReadinessEscalationScreen:imports=1,app-field | field-proof-required | partner-management | rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=1
app-field,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,DshFieldStoreOnboardingScreen,DshFieldStoreOnboardingScreen:imports=1,app-field | catalog-barcode-issue | documents | field-proof-required | store-nomination-intake,WEAK_OR_TRANSITIONAL,placeholder_hits=3; components=1
app-field,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,DshFieldStoreVisitScreen,DshFieldStoreVisitScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-field,dsh/frontend/app-field/screens/DshFieldStoresHistoryScreen.tsx,DshFieldStoresHistoryScreen,DshFieldStoresHistoryScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-field,dsh/frontend/app-field/screens/DshFieldStoresScreen.tsx,DshFieldStoresScreen,DshFieldStoresScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=1
app-partner,dsh/frontend/app-partner/DshPartnerSurface.tsx,DshPartnerSurface | PartnerStoreScopeSheet,DshPartnerSurface:imports=0 | PartnerStoreScopeSheet:imports=0,active-orders | bell | bthwani_delivery | chat-read-ack | chat-send | doc-upload | entry | handoff-mismatch | home | inbox | intake-start | inventory | inventory-adjust | inventory-branch | inventory-management | inventory-update | operations | order-accept | order-alerts | order-chat-read-ack | order-chat-send | order-get | order-handoff | order-issue-queue | order-issue-required | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=2
app-partner,dsh/frontend/app-partner/dsh-partner.routes.ts,,,bell | dsh-partner-entry | dsh-partner-home | dsh-partner-inventory | dsh-partner-notifications | dsh-partner-operations | dsh-partner-order-issue | dsh-partner-order-rejection | dsh-partner-orders | dsh-partner-promotions | dsh-partner-settings | dsh-partner-store-profile | dsh-partner-support | entry | home | inbox | inventory-management | order-rejection | support-directory | support-screen,WEAK_OR_TRANSITIONAL,placeholder_hits=15; components=0
app-partner,dsh/frontend/app-partner/dsh-partner.screen-registry.ts,,,app-partner | dsh-partner-entry | dsh-partner-home | dsh-partner-inventory | dsh-partner-notifications | dsh-partner-operations | dsh-partner-order-issue | dsh-partner-order-rejection | dsh-partner-orders | dsh-partner-promotions | dsh-partner-settings | dsh-partner-store-profile | dsh-partner-support | partner_dsh_entry_status_view | partner_dsh_home_dashboard_view | partner_dsh_inventory_catalog_view | partner_dsh_notifications_list_view | partner_dsh_operations_control_view | partner_dsh_order_detail_view | partner_dsh_order_issue_view | partner_dsh_order_rejection_view | partner_dsh_orders_inbox_view | partner_dsh_promotions_intent_view | partner_dsh_settings_preferences_view | partner_dsh_store_profile_view | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=24; components=0
app-partner,dsh/frontend/app-partner/screens/DshPartnerOrderRejectionScreen.tsx,DshPartnerOrderRejectionScreen,DshPartnerOrderRejectionScreen:imports=0,technical-issue,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=1
app-partner,dsh/frontend/app-partner/screens/DshPartnerStoreCourierScreen.tsx,DshPartnerStoreCourierScreen | SelectionBlock,DshPartnerStoreCourierScreen:imports=1 | SelectionBlock:imports=0,courier_per_delivery_payout | fixed_per_delivery | free_delivery | percentage_of_delivery_fee,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=2
app-partner,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,DenseListRow | HelpBlock | HierarchyFilterRail | InlineLocalEdit | InventoryCatalogCardPanel | InventoryCatalogContent | InventoryCatalogScreen,DenseListRow:imports=0 | HelpBlock:imports=0 | HierarchyFilterRail:imports=0 | InlineLocalEdit:imports=0 | InventoryCatalogCardPanel:imports=0 | InventoryCatalogContent:imports=0 | InventoryCatalogScreen:imports=2,canonical-product-field-lead-5-featured | catalog-adopted | catalog-match | client-visible | field-submitted | inventory-domain-filter-rail | inventory-main-category-filter-rail | inventory-operational-filter-rail | inventory-product-filter-rail | inventory-subcategory-filter-rail | not-in-catalog | partner-approved | partner-review | partner-submitted | pending-catalog | prod-rejected | rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=27; components=7
app-partner,dsh/frontend/app-partner/screens/OperationScreens.tsx,AuctionStatusUpdateScreen | ConversationScreen | InventoryActionScreen | NotificationsScreen | OnboardingActionScreen | OperationHeader | OrderActionScreen | OrderIssueScreen | VideoUploadScreen,AuctionStatusUpdateScreen:imports=0 | ConversationScreen:imports=0 | InventoryActionScreen:imports=0 | NotificationsScreen:imports=0 | OnboardingActionScreen:imports=0 | OperationHeader:imports=0 | OrderActionScreen:imports=0 | OrderIssueScreen:imports=0,chat-read-ack | chat-send | doc-upload | intake-start | inventory-adjust | inventory-update | order-accept | order-get | order-handoff | order-issue-queue | order-out-for-delivery | order-prepare | order-ready | order-reject | order-store-delivered | quick-reply-config | quick-reply-settings | quick-reply-setup,WEAK_OR_TRANSITIONAL,placeholder_hits=3; components=9
app-partner,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,AcceptanceTimerSheet | DshPartnerOrdersScreen | OrderCard | OrdersInboxScreen | PartnerOrdersInboxScreen,AcceptanceTimerSheet:imports=0 | DshPartnerOrdersScreen:imports=0 | OrderCard:imports=0 | OrdersInboxScreen:imports=0 | PartnerOrdersInboxScreen:imports=0,bthwani_delivery | captain_arriving | captain_assigned | handoff | issue | issues | partner_delivery | pickup,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=5
app-partner,dsh/frontend/app-partner/screens/PartnerEntryScreen.tsx,PartnerEntryScreen,PartnerEntryScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
app-partner,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,DshPartnerHubSurface | HubSectionShell | OperationsModeRow | OperationsPanel | OperationsScreen | PartnerHomeScreen | PartnerSettingsScreen | PromotionCandidateRow | PromotionIntentPanel | SettingsOptionRow,DshPartnerHubSurface:imports=1 | HubSectionShell:imports=0 | OperationsModeRow:imports=0 | OperationsPanel:imports=0 | OperationsScreen:imports=0 | PartnerHomeScreen:imports=0 | PartnerSettingsScreen:imports=0 | PromotionCandidateRow:imports=0,active-orders | bthwani_delivery | delivery | inventory | marketing-rejected | operations | operations-directory | order-alerts | order-issue-queue | orders | partner-review | partner_delivery | pickup | profile | store-delivery | wallet | wallet-outline,WEAK_OR_TRANSITIONAL,placeholder_hits=14; components=11
app-partner,dsh/frontend/app-partner/screens/PartnerSupportScreen.tsx,CommandCenterCaseCard | PartnerSupportScreen,CommandCenterCaseCard:imports=0 | PartnerSupportScreen:imports=1,active-orders | chat | chat-send | chatbubble-ellipses-outline | handoff | handoff-mismatch | inventory | inventory-adjust | inventory-branch | open-issues | order-alerts | order-chat-send | order-handoff | order-issue-queue | order-issue-required | order-issues | order-prepare | order-quick-reply-config | order-reject | order-sla-risk | partner-finance-bridge | partner-reject-request | quick-reply | quick-reply-config | video-upload | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=44; components=2
app-partner,dsh/frontend/app-partner/screens/PromotionsScreen.tsx,PromotionRow | PromotionsScreen,PromotionRow:imports=0 | PromotionsScreen:imports=1,free-delivery | partner | rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=2
app-partner,dsh/frontend/app-partner/screens/StoreProfileScreen.tsx,MetricTile | SectionBlock | StoreProfileScreen,MetricTile:imports=0 | SectionBlock:imports=0 | StoreProfileScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=3
control-panel,dsh/frontend/control-panel/DshControlPanelSurfaceHost.tsx,DshControlPanelSurfaceHost,DshControlPanelSurfaceHost:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
control-panel,dsh/frontend/control-panel/administration/ControlPanelDshAdministrationScreen.tsx,ApprovalChainPanel | ControlPanelDshAdministrationScreen | OverviewPanel | PermissionMatrix | RoleCard | RolesPanel | UserCard | UsersPanel,ApprovalChainPanel:imports=0 | ControlPanelDshAdministrationScreen:imports=0 | OverviewPanel:imports=0 | PermissionMatrix:imports=0 | RoleCard:imports=0 | RolesPanel:imports=0 | UserCard:imports=0 | UsersPanel:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=7; components=8
control-panel,dsh/frontend/control-panel/catalogs/CatalogGovernanceScreens.tsx,ControlPanelDshCatalogApprovalScreen | ControlPanelDshListingGovernanceScreen,ControlPanelDshCatalogApprovalScreen:imports=0 | ControlPanelDshListingGovernanceScreen:imports=0,catalog-health | catalogs | inventory-approval,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=2
control-panel,dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogCategoriesScreen.tsx,ControlPanelDshCatalogCategoriesScreen,ControlPanelDshCatalogCategoriesScreen:imports=0,catalog | partner,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
control-panel,dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogScreen.tsx,ControlPanelDshCatalogScreen | FilterToken | InspectorTile | MiniInfoBox | PolicyBadge | WatermarkedImage,ControlPanelDshCatalogScreen:imports=0 | FilterToken:imports=0 | InspectorTile:imports=0 | MiniInfoBox:imports=0 | PolicyBadge:imports=0 | WatermarkedImage:imports=0,catalog | catalog-based | catalog-owned-media | client-visible | field | field-intake | intake | manual-order | partner | partner-entry | partner-exception | partner-owned-exception | partner-review | quick | quick-entry,WEAK_OR_TRANSITIONAL,placeholder_hits=9; components=6
control-panel,dsh/frontend/control-panel/control/ControlHubScreens.tsx,ControlPanelDshControlHubScreen | ControlPanelDshGovernanceEvidenceScreen | ControlPanelDshGuardStatusScreen,ControlPanelDshControlHubScreen:imports=0 | ControlPanelDshGovernanceEvidenceScreen:imports=0 | ControlPanelDshGuardStatusScreen:imports=0,,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=3
