severity,surface,path,violation_type,risk,recommended_correction,phase_priority
HIGH,app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,heavy useState/detail payload risk=4 | detail/audit/chat/refund always-render risk=98 | array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-client,dsh/frontend/app-client/screens/StoreScreen.tsx,heavy useState/detail payload risk=2 | detail/audit/chat/refund always-render risk=16 | array preview duplication risk=147,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-client,dsh/frontend/app-client/shared/map-menu-item-to-product-card.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/shared/store-builders.ts,array preview duplication risk=6,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/DshFieldSurface.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/contracts/dsh-field-binding.contracts.ts,detail/audit/chat/refund always-render risk=1 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/data/field-finance.preview-data.ts,array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/data/field-onboarding.storage.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/data/field-state.preview-data.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-field,dsh/frontend/app-field/data/field-stores.preview-data.ts,array preview duplication risk=17,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-field,dsh/frontend/app-field/data/field-visit.preview-data.ts,detail/audit/chat/refund always-render risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/dsh-field.routes.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/parts/FieldStoreCard.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldFinanceScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldProfileHomeScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldReadinessEscalationScreen.tsx,detail/audit/chat/refund always-render risk=1 | array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-field,dsh/frontend/app-field/screens/DshFieldStoreVisitScreen.tsx,detail/audit/chat/refund always-render risk=17,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoresHistoryScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/screens/DshFieldStoresScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-field,dsh/frontend/app-field/sections/VisitEvidenceSection.tsx,detail/audit/chat/refund always-render risk=14,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-field,dsh/frontend/app-field/sections/index.ts,detail/audit/chat/refund always-render risk=5,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-field,dsh/frontend/app-field/types/DshFieldStoreVisitTypes.ts,detail/audit/chat/refund always-render risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-partner,dsh/frontend/app-partner/DshPartnerSurface.tsx,detail/audit/chat/refund always-render risk=22 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-partner,dsh/frontend/app-partner/contracts/dsh-partner-binding.contracts.ts,detail/audit/chat/refund always-render risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-partner,dsh/frontend/app-partner/data/partner-order-alert.preview-data.ts,array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-partner,dsh/frontend/app-partner/data/partner-order-conversation.preview-data.ts,detail/audit/chat/refund always-render risk=8 | array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-partner,dsh/frontend/app-partner/dsh-partner.routes.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-partner,dsh/frontend/app-partner/dsh-partner.screen-registry.ts,detail/audit/chat/refund always-render risk=1 | array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-partner,dsh/frontend/app-partner/dsh-partner.types.ts,detail/audit/chat/refund always-render risk=14 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-partner,dsh/frontend/app-partner/parts/PartnerOrderActionPanel.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-partner,dsh/frontend/app-partner/parts/PartnerOrderAlertsPanel.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-partner,dsh/frontend/app-partner/parts/PartnerOrderConversationPanel.tsx,detail/audit/chat/refund always-render risk=15 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-partner,dsh/frontend/app-partner/parts/PartnerOrderIssuePanel.tsx,detail/audit/chat/refund always-render risk=4 | array preview duplication risk=12,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-partner,dsh/frontend/app-partner/screens/DshPartnerStoreCourierScreen.tsx,detail/audit/chat/refund always-render risk=19 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-partner,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,heavy useState/detail payload risk=1 | detail/audit/chat/refund always-render risk=27 | array preview duplication risk=20,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-partner,dsh/frontend/app-partner/screens/OperationScreens.tsx,detail/audit/chat/refund always-render risk=18,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-partner,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,heavy useState/detail payload risk=1 | detail/audit/chat/refund always-render risk=12 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-partner,dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,array preview duplication risk=7,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-partner,dsh/frontend/app-partner/screens/PartnerSupportScreen.tsx,detail/audit/chat/refund always-render risk=26 | array preview duplication risk=38,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-partner,dsh/frontend/app-partner/screens/PromotionsScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-partner,dsh/frontend/app-partner/screens/StoreProfileScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/administration/ControlPanelDshAdministrationScreen.tsx,array preview duplication risk=8,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/administration/administration.mock.ts,array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/administration/administration.types.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/administration/index.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/CatalogAdoptionQueue.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/CatalogGovernanceScreens.tsx,detail/audit/chat/refund always-render risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,control-panel,dsh/frontend/control-panel/catalogs/ControlPanelDshCatalogScreen.tsx,heavy useState/detail payload risk=4 | array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,control-panel,dsh/frontend/control-panel/catalogs/catalog.ts,array preview duplication risk=6,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,control-panel,dsh/frontend/control-panel/control/ControlHubScreens.tsx,detail/audit/chat/refund always-render risk=22 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,control-panel,dsh/frontend/control-panel/control/index.ts,detail/audit/chat/refund always-render risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/dashboard/ControlPanelDshClosureDashboardScreen.tsx,detail/audit/chat/refund always-render risk=9 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/dashboard/index.ts,detail/audit/chat/refund always-render risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,control-panel,dsh/frontend/control-panel/finance/CommissionBreakdownWorkspace.tsx,array preview duplication risk=7,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,control-panel,dsh/frontend/control-panel/finance/FinanceHubScreen.tsx,detail/audit/chat/refund always-render risk=7 | array preview duplication risk=7,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,control-panel,dsh/frontend/control-panel/finance/FinanceHubScreens.tsx,detail/audit/chat/refund always-render risk=37 | array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,control-panel,dsh/frontend/control-panel/finance/RefundQueueWorkspace.tsx,detail/audit/chat/refund always-render risk=18,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,control-panel,dsh/frontend/control-panel/finance/finance.registry.ts,detail/audit/chat/refund always-render risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
