"entity_id","entity_type","canonical_name","disposition","owner_layer","target_repo_path","target_wave"
"ENT_21","screen","arb_booking_verify_screen","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_22","screen","arb_bookings_list","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_23","screen","arb_partner_bookings_list","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_24","screen","arb_control_quality_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_25","screen","arb_control_analytics_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_26","screen","arb_control_operations_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_27","screen","arb_control_security_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_28","screen","arb_control_finance_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_29","screen","arb_control_support_hub","REBUILD_CLEAN","packages/surfaces + app shells","packages/surfaces/src/arb and apps shells","W01-W04"
"ENT_30","controller","arb.controller","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_31","service_core","arb.module","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_32","service_core","index","REBUILD_CLEAN","service_layer","see ownership map","W02-W09"
"ENT_33","runtime_var","var_arb_booking_expiry_hours","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_34","runtime_var","var_arb_chat_encryption_key","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_35","runtime_var","var_arb_chat_retention_days","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_36","runtime_var","var_arb_dispute_response_timeout_hours","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_37","runtime_var","var_arb_escrow_hold_duration_days","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_38","runtime_var","var_arb_escrow_release_timeout_hours","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_39","runtime_var","var_arb_escrow_timeout_minutes","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_40","runtime_var","var_arb_max_amendments","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_41","runtime_var","var_arb_no_show_cap_yer","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_42","runtime_var","var_arb_no_show_keep_pct","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_43","runtime_var","var_arb_quiet_hours","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_44","runtime_var","var_arb_release_days","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_45","runtime_var","var_arb_max_retry_attempts","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_46","runtime_var","var_arb_timeout_seconds","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_47","runtime_var","var_arb_rate_limit_per_minute","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_48","runtime_var","var_arb_max_distance_km","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_49","runtime_var","var_arb_min_escrow_percentage","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
"ENT_50","runtime_var","var_arb_max_date_range_ms","EXTRACT_PARTIAL","service_layer","see ownership map","W02-W09"
