"operation_id","runtime_class","fixture_backed","bind_ready","runtime_ready","proof_ready","notes"
"dsh_partner_quick_reply_post","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_quick_reply_setup","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_quick_reply_webhook_post","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_store_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_store_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_store_service_modes_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_store_status_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_store_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_subscription_analytics_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_subscription_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_partner_subscription_upgrade_post","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_pricing_preview","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_pricing_snapshot_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_promo_apply","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_proxy_request_approve","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_proxy_request_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_proxy_request_estimate","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_proxy_request_offer","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_proxy_request_reject","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_proxy_request_schedule","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_review_create","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_service_modes_resolve","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_store_commission_set","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_store_fulfillment_profile_update","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_store_modes_set","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_store_products","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_store_service_modes_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_store_zones_set","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_bundles_list","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_categories_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_family_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_family_members_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_family_members_post","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_sync","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_tier_get","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_subscription_upgrade_post","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
"dsh_zone_set","preview-only","yes","seeded_for_w08","deferred_to_w09","deferred_to_w09","promotion requires gate C closure"
