"Surface","ScreenName","UiNodeType","RelativePath","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_pickup.tsx","3","dsh_captain_order_deliver; dsh_captain_order_pickup; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_list.tsx","5","dsh_captain_order_accept; dsh_captain_order_details; dsh_captain_orders; dsh_captain_orders_list; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_orders_offers_list.tsx","3","dsh_captain_order_accept; dsh_captain_orders_offers; dsh_captain_orders_offers_list","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_profile_get.tsx","2","dsh_captain_profile; dsh_captain_profile_get","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_tier_evaluate.tsx","3","dsh_captain_tier_evaluate; dsh_captain_tier_info; dsh_captains","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_tier_info.tsx","3","dsh_captain_tier_evaluate; dsh_captain_tier_info; dsh_captains","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","17","dsh_bank_account_label; dsh_enter_amount; dsh_enter_valid_amount; dsh_loading_settlements; dsh_min_50; dsh_min_withdrawal; dsh_new_withdrawal; dsh_select_bank_account; dsh_status_completed; dsh_status_pending; dsh_status_processing; dsh_status_rejected; dsh_status_unspecified; dsh_success_title; dsh_withdrawal_amount_label; dsh_withdrawal_failed; dsh_withdrawal_success","True","False","KEEP_REBUILD_CLEAN"
"app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_wallet.tsx","5","dsh_captain_delivery; dsh_captain_ride; dsh_wallet_empty; dsh_wallet_loading; dsh_wallet_subtitle","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_auction_status_update.tsx","3","dsh_auction_status_update; dsh_auctions; dsh_partner_store_get","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_chat_read_ack.tsx","2","dsh_partner_chat_read_ack; dsh_partner_orders","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_chat_send.tsx","2","dsh_partner_chat_send; dsh_partner_orders","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_listing_status_update.tsx","3","dsh_listing_status_update; dsh_listings; dsh_partner_store_get","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_get.tsx","5","dsh_partner_order_get; dsh_partner_order_out_for_delivery; dsh_partner_order_store_delivered; dsh_partner_orders; dsh_partner_orders_list","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_subscription.tsx","2","dsh_partner_subscription; dsh_partner_subscription_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshOrdersCreateScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshOrdersCreateScreen.tsx","1","dsh_orders_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshPartnerOrderChatMessageCreateScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderChatMessageCreateScreen.tsx","2","dsh_partner_order_chat_message_create; dsh_partner_order_chat_message_create_","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshPartnerOrderChatMessagesListScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderChatMessagesListScreen.tsx","1","dsh_partner_order_chat_messages_list_","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshPartnerOrderChatReadAckScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderChatReadAckScreen.tsx","2","dsh_partner_order_chat_read_ack; dsh_partner_order_chat_read_ack_","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_reassign.tsx","3","dsh_deliveries; dsh_delivery_reassign; dsh_delivery_reassign_request","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_get.tsx","1","dsh_delivery_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_eta_get.tsx","2","dsh_deliveries; dsh_delivery_eta_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_close.tsx","1","dsh_delivery_close","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_attempts_list.tsx","1","dsh_delivery_attempts_list","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_attempt_create.tsx","2","dsh_deliveries; dsh_delivery_attempt_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_checkout_gate.tsx","1","dsh_checkout_gate","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_delivery_track_get.tsx","2","dsh_deliveries; dsh_delivery_track_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_loyalty_points_user_balance.tsx","2","dsh_loyalty_points_user; dsh_loyalty_points_user_balance","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_chat_read_ack.tsx","2","dsh_chat_read_ack; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_category_get.tsx","1","dsh_category_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_categories_list.tsx","3","dsh_categories_list; dsh_category_icons; dsh_experimental_categories_reference","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_cart_item_update.tsx","2","dsh_cart_item_update; dsh_cart_items","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_cart_item_remove.tsx","2","dsh_cart_item_remove; dsh_cart_items","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_cart_item_add.tsx","2","dsh_cart_item_add; dsh_cart_items","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_cart_init.tsx","1","dsh_cart_init","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_cart_get.tsx","2","dsh_cart; dsh_cart_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_booking_create.tsx","2","dsh_booking_create; dsh_bookings","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_awnak_order_create.tsx","1","dsh_awnak_order_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_chat_send.tsx","2","dsh_chat_send; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_entitlements_get.tsx","2","dsh_entitlements; dsh_entitlements_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_estimate_create.tsx","2","dsh_estimate_create; dsh_estimates","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_estimate_get.tsx","2","dsh_estimate_get; dsh_estimates","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_loyalty_points_user_history.tsx","2","dsh_loyalty_points_user; dsh_loyalty_points_user_history","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_accept.tsx","2","dsh_order_accept; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_cancel.tsx","1","dsh_order_cancel","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_complete.tsx","2","dsh_order_complete; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_create.tsx","3","dsh_execution_roadmap_checklist; dsh_order_create; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_escrow_hold.tsx","2","dsh_order_escrow_hold; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_escrow_release.tsx","2","dsh_order_escrow_release; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_get.tsx","1","dsh_order_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_issue_flag.tsx","2","dsh_order_issue_flag; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_proof_code_generate.tsx","2","dsh_order_proof_code_generate; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_pricing_snapshot_get.tsx","2","dsh_pricing_snapshot_get; dsh_pricing_snapshots","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_proof_verify.tsx","2","dsh_order_proof_verify; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_rate.tsx","2","dsh_order_rate; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_listing_status_update.tsx","2","dsh_listing_status_update; dsh_listings","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_home_get.tsx","8","dsh_banner_; dsh_banner_002; dsh_category_icons; dsh_home_below_hero; dsh_home_get; dsh_home_video_icon; dsh_shorts_placement; dsh_store_","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_gas_refill_order_create.tsx","1","dsh_gas_refill_order_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_favorite_toggle.tsx","1","dsh_favorite_toggle","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_receipt_get.tsx","2","dsh_order_receipt_get; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_external_order_create.tsx","1","dsh_external_order_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_status_get.tsx","1","dsh_order_status_get","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_order_status_update.tsx","2","dsh_order_status_update; dsh_orders","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_loyalty_points_redeem.tsx","1","dsh_loyalty_points_redeem","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_favorites_list.tsx","1","dsh_favorites_list","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_pricing_preview.tsx","2","dsh_cart; dsh_pricing_preview","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_service_modes_resolve.tsx","3","dsh_partner_agreement_and_checkout_spec; dsh_service_modes_resolve; dsh_stores","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_reviews_list.tsx","1","dsh_reviews_list","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_orders_list.tsx","3","dsh_filter_key_to_mode_id; dsh_orders; dsh_orders_list","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_search.tsx","1","dsh_search","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_review_create.tsx","2","dsh_review_create; dsh_reviews","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_stores_list.tsx","1","dsh_stores_list","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_get.tsx","2","dsh_subscription_family_get; dsh_subscriptions_family","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_store_items_list.tsx","3","dsh_store; dsh_store_items_list; dsh_store_products","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_members_post.tsx","2","dsh_subscription_family_members_post; dsh_subscriptions_family","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_pro_catalog.tsx","3","dsh_subscription_categories_get; dsh_subscriptions_bundles; dsh_subscriptions_categories","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_sync.tsx","2","dsh_subscription_sync; dsh_subscriptions_sync","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_tier_get.tsx","2","dsh_subscription_tier_get; dsh_subscriptions","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_upgrade_post.tsx","2","dsh_subscription_upgrade_post; dsh_subscriptions_upgrade","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_zone_set.tsx","1","dsh_zone_set","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_members_get.tsx","2","dsh_subscription_family_members_get; dsh_subscriptions_family","True","False","KEEP_REBUILD_CLEAN"
"unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_promo_apply.tsx","1","dsh_promo_apply","True","False","KEEP_REBUILD_CLEAN"
"app-captain","useDshCaptainDeliveryPositionPing","component","packages\surfaces\src\dsh\app-captain\hooks\useDshCaptainDeliveryPositionPing.ts","3","dsh_deliveries; dsh_dsh_smart_notifications_captain_near_spec; dsh_smart_notifications_captain_near_spec","False","False","MODIFY_MAJOR"
"app-field","StyleSheet","component","packages\surfaces\src\dsh\app-field\mobile\auto_dsh_field_store_activation_request.tsx","2","dsh_field_store_activation_request; dsh_field_stores","True","False","MODIFY_MAJOR"
"app-field","StyleSheet","component","packages\surfaces\src\dsh\app-field\mobile\auto_dsh_field_store_geo_pin.tsx","2","dsh_field_store_geo_pin; dsh_field_stores","True","False","MODIFY_MAJOR"
"app-field","StyleSheet","component","packages\surfaces\src\dsh\app-field\mobile\auto_dsh_field_store_visit_log.tsx","2","dsh_field_store_visit_log; dsh_field_stores","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_delivery_ops_board.tsx","1","dsh_partner_delivery_ops_board","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_nomination.tsx","2","dsh_partner_store_get; dsh_partner_store_nominations_post","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_get.tsx","9","dsh_partner_auction_status_update; dsh_partner_delivery_zones_update; dsh_partner_hours_update; dsh_partner_items_upsert; dsh_partner_listing_status_update; dsh_partner_profile; dsh_partner_store_get; dsh_partner_store_status_update; dsh_partner_store_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_doc_upload.tsx","2","dsh_partner_doc_upload; dsh_partners","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_delivery_zones_update.tsx","3","dsh_partner_delivery_zones_update; dsh_partner_store_get; dsh_partner_store_zones","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_identity_submit.tsx","2","dsh_partner_identity_submit; dsh_partners","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_service_modes_update.tsx","2","dsh_partner_store_get; dsh_partner_store_service_modes_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_status_update.tsx","3","dsh_partner_store_get; dsh_partner_store_status; dsh_partner_store_status_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_update.tsx","3","dsh_partner_profile; dsh_partner_store_get; dsh_partner_store_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_staff_analytics_get.tsx","1","dsh_partner_staff_analytics_get","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_zone_set.tsx","2","dsh_partner_store_get; dsh_zone_set","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_setup.tsx","2","dsh_partner_quick_reply_setup; dsh_partner_store_get","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_settings.tsx","2","dsh_partner_quick_reply_config_get; dsh_partner_quick_reply_setup","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_hours_update.tsx","3","dsh_partner_hours_update; dsh_partner_store_get; dsh_partner_store_hours","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_profile_get.tsx","2","dsh_partner_profile; dsh_partner_profile_get","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_orders_list.tsx","5","dsh_partner_order_accept; dsh_partner_order_get; dsh_partner_order_reject; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_quick_reply_config_get.tsx","2","dsh_partner_quick_reply_config_get; dsh_partner_quick_reply_setup","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_reject.tsx","3","dsh_partner_order_reject; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_intake_start.tsx","2","dsh_partner_intake_start; dsh_partners_intake","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_store_delivered.tsx","3","dsh_partner_order_store_delivered; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_inventory_update.tsx","2","dsh_partner_inventory_update; dsh_partner_stores","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_items_upsert.tsx","1","dsh_partner_items_upsert","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_inventory_adjust.tsx","2","dsh_partner_inventory_adjust; dsh_partners_me_inventory_adjust","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_handoff.tsx","3","dsh_partner_order_handoff; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_out_for_delivery.tsx","3","dsh_partner_order_out_for_delivery; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_prepare.tsx","4","dsh_partner_order_get; dsh_partner_order_prepare; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_ready.tsx","4","dsh_partner_order_get; dsh_partner_order_ready; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_accept.tsx","3","dsh_partner_order_accept; dsh_partner_orders; dsh_partner_orders_list","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_order_issue_queue.tsx","1","dsh_partner_order_issue_queue","True","False","MODIFY_MAJOR"
"unknown","captainEarningsHistory","component","packages\surfaces\src\dsh\fixtures\captainEarningsHistory.ts","4","dsh_bonus_daily; dsh_bonus_performance; dsh_delivery_restaurant; dsh_penalty_delay","False","False","MODIFY_MAJOR"
