"screen_id","component_name","target_component_path","shared_or_local","depends_on_ui_kit","owner","status"
"SCR_26","dsh_captain_cod_balance","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_27","dsh_captain_job_reject","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_28","dsh_captain_order_accept","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_29","dsh_captain_order_deliver","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_30","dsh_captain_order_details","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_31","dsh_captain_order_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_32","dsh_captain_order_pickup","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_33","dsh_captain_orders_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_34","dsh_captain_orders_offers_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_35","dsh_captain_profile_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_36","dsh_captain_proof_upload","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_37","dsh_captain_tier_evaluate","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_38","dsh_captain_tier_info","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_39","dsh_field_store_activation_request","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_40","dsh_field_store_geo_pin","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_41","dsh_field_store_visit_log","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_42","dsh_partner_auction_status_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_43","dsh_partner_audience_insights_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_44","dsh_partner_chat_read_ack","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_45","dsh_partner_chat_send","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_46","dsh_partner_commission_by_mode_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_47","dsh_partner_delivery_ops_board","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_48","dsh_partner_delivery_zones_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_49","dsh_partner_doc_upload","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_50","dsh_partner_hours_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_51","dsh_partner_identity_submit","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_52","dsh_partner_intake_start","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_53","dsh_partner_inventory_adjust","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_54","dsh_partner_inventory_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_55","dsh_partner_items_upsert","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_56","dsh_partner_listing_status_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_57","dsh_partner_manager_invite","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_58","dsh_partner_order_accept","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_59","dsh_partner_order_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_60","dsh_partner_order_handoff","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_61","dsh_partner_order_issue_queue","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_62","dsh_partner_order_out_for_delivery","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_63","dsh_partner_order_prepare","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_64","dsh_partner_order_ready","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_65","dsh_partner_order_reject","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_66","dsh_partner_order_store_delivered","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_67","dsh_partner_orders_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_68","dsh_partner_profile_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_69","dsh_partner_quick_reply_config_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_70","dsh_partner_quick_reply_settings","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_71","dsh_partner_quick_reply_setup","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_72","dsh_partner_staff_analytics_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_73","dsh_partner_store_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_74","dsh_partner_store_nomination","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_75","dsh_partner_store_service_modes_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_76","dsh_partner_store_status_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_77","dsh_partner_store_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_78","dsh_partner_subscription","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_79","dsh_partner_zone_set","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_80","dsh_awnak_order_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_81","dsh_booking_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_82","dsh_cart_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_83","dsh_cart_init","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_84","dsh_cart_item_add","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_85","dsh_cart_item_remove","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_86","dsh_cart_item_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_87","dsh_categories_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_88","dsh_category_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_89","dsh_chat_read_ack","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_90","dsh_chat_send","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_91","dsh_checkout_gate","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_92","dsh_delivery_attempt_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_93","dsh_delivery_attempts_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_94","dsh_delivery_close","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_95","dsh_delivery_eta_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_96","dsh_delivery_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_97","dsh_delivery_reassign","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_98","dsh_delivery_track_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_99","dsh_entitlements_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_100","dsh_estimate_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_101","dsh_estimate_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_102","dsh_external_order_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_103","dsh_favorite_toggle","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_104","dsh_favorites_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_105","dsh_gas_refill_order_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_106","dsh_home_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_107","dsh_listing_status_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_108","dsh_loyalty_points_redeem","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_109","dsh_loyalty_points_user_balance","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_110","dsh_loyalty_points_user_history","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_111","dsh_order_accept","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_112","dsh_order_cancel","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_113","dsh_order_complete","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_114","dsh_order_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_115","dsh_order_escrow_hold","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_116","dsh_order_escrow_release","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_117","dsh_order_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_118","dsh_order_issue_flag","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_119","dsh_order_proof_code_generate","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_120","dsh_order_proof_verify","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_121","dsh_order_rate","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_122","dsh_order_receipt_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_123","dsh_order_status_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_124","dsh_order_status_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_125","dsh_orders_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_126","dsh_pricing_preview","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_127","dsh_pricing_snapshot_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_128","dsh_promo_apply","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_129","dsh_proxy_request_approve","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_130","dsh_proxy_request_review","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_131","dsh_proxy_request_tracking","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_132","dsh_review_create","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_133","dsh_reviews_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_134","dsh_search","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_135","dsh_service_modes_resolve","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_136","dsh_shein_info","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_137","dsh_store_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_138","dsh_store_items_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_139","dsh_stores_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_140","dsh_subscription_family_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_141","dsh_subscription_family_members_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_142","dsh_subscription_family_members_post","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_143","dsh_subscription_pro_catalog","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_144","dsh_subscription_sync","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_145","dsh_subscription_tier_get","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_146","dsh_subscription_upgrade_post","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_147","dsh_zone_set","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_148","dsh_store_items_list_shared","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_149","dsh_banners_list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_150","dsh_cart_price","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_151","dsh_categories_list_shared","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_152","dsh_category_detail","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_153","dsh_checkout_payment_method_select","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_154","dsh_customer_preferences_detail","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_155","dsh_customer_profile_detail","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_156","dsh_customer_profile_update","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_157","dsh_partner_orders_list_shared","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_158","dsh_orders_create_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_159","dsh_partner_order_accept_alt_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_160","dsh_partner_order_chat_message_create_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_161","dsh_partner_order_chat_messages_list_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_162","dsh_partner_order_chat_read_ack_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_163","admin_dsh_store_items_list_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_164","dsh_cart_item_add_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_165","dsh_delivery_reassign_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_166","dsh_operations_hub_surface","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_167","dsh_peak_mode_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_168","dsh_zone_set_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_169","arrival_bell_settings_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_170","dsh_operations_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_171","dsh_order_detail_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_172","dsh_orders_screen","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_173","shein-proxy-request-details","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_174","shein-proxy-request-estimate-and-offer","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_175","shein-proxy-request-estimate","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_176","shein-proxy-request-offer","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_177","shein-proxy-request-schedule","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
"SCR_178","shein-proxy-requests-list","packages/surfaces/src/dsh","shared_first","yes","packages/surfaces","seeded_locked"
