"QueueType","Surface","Operation","CandidateName","Readiness","WhyReady","RecommendedAction"
"keep-rebuild-clean","app-captain","dsh_captain_cod_balance","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-captain","dsh_captain_chat_read_ack","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-partner","dsh_auction_status_update","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-partner","dsh_partner_chat_read_ack","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-partner","dsh_partner_chat_send","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-partner","dsh_listing_status_update","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-partner","dsh_partner_order_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","app-partner","dsh_partner_subscription","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_orders_create","DshOrdersCreateScreen","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_partner_order_chat_message_create","DshPartnerOrderChatMessageCreateScreen","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_partner_order_chat_messages_list_","DshPartnerOrderChatMessagesListScreen","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_partner_order_chat_read_ack","DshPartnerOrderChatReadAckScreen","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_tier_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_complete","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_execution_roadmap_checklist","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_escrow_hold","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_escrow_release","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_issue_flag","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_proof_code_generate","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_proof_verify","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_rate","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_receipt_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_status_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_status_update","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_filter_key_to_mode_id","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_cart","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_pricing_snapshot_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_promo_apply","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_review_create","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_reviews_list","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_search","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_partner_agreement_and_checkout_spec","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_store","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_stores_list","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_family_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_family_members_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_family_members_post","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_categories_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_sync","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_cancel","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_order_accept","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_delivery_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_loyalty_points_user","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_awnak_order_create","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_booking_create","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_cart","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_cart_init","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_cart_item_add","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_cart_item_remove","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_cart_item_update","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_categories_list","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_category_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_chat_read_ack","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_chat_send","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_checkout_gate","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_deliveries","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_delivery_attempts_list","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_delivery_close","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_deliveries","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_subscription_upgrade_post","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_deliveries","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_deliveries","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_entitlements","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_estimate_create","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_estimate_get","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_external_order_create","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_favorite_toggle","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_favorites_list","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_gas_refill_order_create","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_banner_","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_listing_status_update","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_loyalty_points_redeem","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_loyalty_points_user","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
"keep-rebuild-clean","unknown","dsh_zone_set","StyleSheet","READY_FOR_REBUILD","Donor surface node already classified as KEEP_REBUILD_CLEAN","REBUILD_CLEAN_ON_UIKIT"
