"operation_id","category","donor_status","donor_catalog_implemented","donor_mobile_surfaces","donor_web_control_panel_surfaces","dossier_exists","dossier_file_count","dossier_complete","has_spec","has_screens_map","has_runtime_vars","has_rbac_abac","has_control_panel_map","has_gaps","has_evidence_index","has_api_map","has_actions_catalog","has_acceptance","donor_screen_ids","donor_routes","donor_route_surfaces","trace_seal_status","trace_backend_path","trace_screen_path","trace_control_panel_path","target_family_guess","target_status","target_candidate_ids","target_canonical_targets","mapping_confidence","mapping_notes"
"dsh_entitlements_get","DSH_GENERAL","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_entitlements_get","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","dsh_store_discovery","support_folded","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","medium","Discovery and detail-support operation family."
"dsh_external_order_create","ORDER","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_external_order_create","/dsh/planned","APP_CLIENT","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_create","SHEIN_PROXY","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","shein_create_request_screen","/dsh/shein/create","APP_CLIENT","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_estimate","SHEIN_PROXY","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","shein_proxy_estimate_screen","/app/operations/dsh/sheinproxy/[id]/estimate","CONTROL_PANEL","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_offer","SHEIN_PROXY","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","shein_proxy_offer_screen","/app/operations/dsh/sheinproxy/[id]/offer","CONTROL_PANEL","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_approve","SHEIN_PROXY","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","shein_create_request_screen","/dsh/shein/create","APP_CLIENT","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_reject","SHEIN_PROXY","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","shein_create_request_screen|shein_proxy_requests_list","/app/operations/dsh/sheinproxy|/dsh/shein/create","APP_CLIENT|CONTROL_PANEL","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_proxy_request_schedule","SHEIN_PROXY","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","shein_proxy_schedule_screen","/app/operations/dsh/sheinproxy/[id]/schedule","CONTROL_PANEL","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","","packages/surfaces/src/web/control-panel/operations/dsh/","dsh_proxy_request_flow","covered","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace|dsh_proxy_schedule_companion","dsh_client_proxy_request_entry|dsh_client_proxy_request_tracking|dsh_proxy_requests_list|dsh_proxy_request_review_workspace","high","Proxy exception family with customer entry and internal review."
"dsh_field_store_activation_request","FIELD","ACTIVE","yes","app-field","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_field_store_activation_request","/dsh/planned","APP_FIELD","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","packages/surfaces/src/dsh/app-field/mobile/","","dsh_field_activation_support","covered","dsh_field_activation_workspace|dsh_field_geo_pin_companion|dsh_field_visit_log_companion","dsh_field_activation_workspace","high","Field support branch remains optional."
"dsh_field_store_geo_pin","FIELD","ACTIVE","yes","app-field","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_field_store_geo_pin","/dsh/planned","APP_FIELD","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","packages/surfaces/src/dsh/app-field/mobile/","","dsh_field_activation_support","covered","dsh_field_activation_workspace|dsh_field_geo_pin_companion|dsh_field_visit_log_companion","dsh_field_activation_workspace","high","Field support branch remains optional."
"dsh_field_store_visit_log","FIELD","ACTIVE","yes","app-field","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_field_store_visit_log","/dsh/planned","APP_FIELD","VERIFIED","services/dsh/src/controllers/dsh.controller.ts","packages/surfaces/src/dsh/app-field/mobile/","","dsh_field_activation_support","covered","dsh_field_activation_workspace|dsh_field_geo_pin_companion|dsh_field_visit_log_companion","dsh_field_activation_workspace","high","Field support branch remains optional."
"dsh_loyalty_points_redeem","STORE","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","auto_dsh_loyalty_points_redeem","DshLoyaltyPointsRedeem","APP_CLIENT","PLANNED_ONLY","","","","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_loyalty_points_user_balance","STORE","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","auto_dsh_loyalty_points_user_balance","DshLoyaltyPointsUserBalance","APP_CLIENT","PLANNED_ONLY","","","","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_loyalty_points_user_history","STORE","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","auto_dsh_loyalty_points_user_history","DshLoyaltyPointsUserHistory","APP_CLIENT","PLANNED_ONLY","","","","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_order_issue_flag","ORDER","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","DshOrderIssueFlag","/dsh/order-issue-flag","APP_CLIENT","PLANNED_ONLY","","","","dsh_ops_governance_controls","internal_or_support","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","medium","Internal oversight or exception handling family."
"dsh_order_proof_code_generate","ORDER","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","DshOrderProofCodeGenerate","/dsh/order-proof-code-generate","APP_CLIENT","PLANNED_ONLY","","","","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
"dsh_order_proof_verify","ORDER","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","DshOrderProofVerify","/dsh/order-proof-verify","APP_CLIENT","PLANNED_ONLY","","","","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
"dsh_partner_chat_read_ack","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_chat_read_ack","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","high","Partner chat is kept as a companion interaction."
"dsh_partner_chat_send","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_chat_send","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","high","Partner chat is kept as a companion interaction."
"dsh_partner_delivery_zones_update","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_delivery_zones_update","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_doc_upload","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_doc_upload","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_hours_update","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_hours_update","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner hours remain part of store-readiness maintenance."
"dsh_partner_identity_submit","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_identity_submit","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_intake_start","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_intake_start","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_inventory_adjust","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_inventory_adjust","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_inventory_update","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_inventory_update","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_items_upsert","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_items_upsert","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_manager_invite","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_manager_invite","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_identity_staff","move_to_legacy","dsh_partner_identity_staff_cluster","","high","Partner onboarding and admin extras remain outside current operational truth."
"dsh_partner_quick_reply_config_get","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_quick_reply_config_get","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_quick_reply_post","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_quick_reply_post","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_quick_reply_setup","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_quick_reply_setup","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_quick_reply_webhook_post","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_quick_reply_webhook_post","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_customer_order_chat","converted_companion","dsh_partner_chat_companion","dsh_partner_order_workspace","medium","Quick replies stay subordinate to partner workspace communication."
"dsh_partner_store_create","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_store_create","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_get","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_store_get","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_update","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_store_update","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_service_modes_update","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_store_service_modes_update","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_store_status_update","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_store_status_update","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_store_maintenance","covered","dsh_partner_store_maintenance_workspace","dsh_partner_store_maintenance_workspace","high","Partner store readiness and configuration family."
"dsh_partner_order_handoff","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_order_handoff","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","dsh_partner_order_handling","covered","dsh_partner_order_workspace|dsh_partner_handoff_action","dsh_partner_order_workspace","high","Partner execution stays inside one workspace."
"dsh_partner_order_out_for_delivery","PARTNER","ACTIVE","yes","app-partner","control-panel","False","0","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","dsh_partner_order_handling","covered","dsh_partner_order_workspace|dsh_partner_handoff_action","dsh_partner_order_workspace","high","Partner execution stays inside one workspace."
"dsh_partner_order_store_delivered","PARTNER","ACTIVE","yes","app-partner","control-panel","False","0","False","False","False","False","False","False","False","False","False","False","False","","","","","","","","dsh_partner_order_handling","covered","dsh_partner_order_workspace|dsh_partner_handoff_action","dsh_partner_order_workspace","high","Partner execution stays inside one workspace."
"dsh_partner_subscription_analytics_get","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_subscription_analytics_get","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_subscription_analytics","move_to_legacy","dsh_partner_subscription_analytics_cluster","","high","Partner subscription and analytics extras remain outside current truth."
"dsh_partner_subscription_get","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_subscription_get","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_subscription_analytics","move_to_legacy","dsh_partner_subscription_analytics_cluster","","high","Partner subscription and analytics extras remain outside current truth."
"dsh_partner_subscription_upgrade_post","PARTNER","ACTIVE","yes","app-partner","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_partner_subscription_upgrade_post","/dsh/planned","APP_PARTNER","PLANNED_ONLY","","","","legacy_partner_subscription_analytics","move_to_legacy","dsh_partner_subscription_analytics_cluster","","high","Partner subscription and analytics extras remain outside current truth."
"dsh_pricing_preview","ORDER","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","DshPricingPreview","DshPricingPreview","APP_CLIENT","PLANNED_ONLY","","","","dsh_cart_checkout_gate","covered","dsh_client_cart_review|dsh_client_checkout_confirm|dsh_client_checkout_block_state","dsh_client_cart_review|dsh_client_checkout_confirm","high","Cart and checkout gating family."
"dsh_pricing_snapshot_get","STORE","ACTIVE","no","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_pricing_snapshot_get","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","dsh_store_discovery","support_folded","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","medium","Discovery and detail-support operation family."
"dsh_promo_apply","DSH_GENERAL","DEPRECATED","yes","","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","NOT_REQUIRED_APP_CLIENT","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
"dsh_service_modes_resolve","DSH_GENERAL","ACTIVE","yes","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_service_modes_resolve","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","dsh_store_discovery","support_folded","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","dsh_client_entry_discovery_home|dsh_client_category_or_store_detail","medium","Discovery and detail-support operation family."
"dsh_store_commission_set","STORE","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_store_commission_set","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and CONTROL_PANEL/admin ownership here; clean target model narrows or defers it."
"dsh_store_fulfillment_profile_update","STORE","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_store_fulfillment_profile_update","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and CONTROL_PANEL/admin ownership here; clean target model narrows or defers it."
"dsh_store_modes_set","STORE","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_store_modes_set","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and CONTROL_PANEL/admin ownership here; clean target model narrows or defers it."
"dsh_store_service_modes_get","STORE","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_store_service_modes_get","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and CONTROL_PANEL/admin ownership here; clean target model narrows or defers it."
"dsh_store_zones_set","STORE","ACTIVE","yes","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_store_zones_set","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_ops_store_admin","move_to_legacy_or_partner_maintenance","dsh_partner_store_maintenance_workspace|dsh_ops_store_items_and_zone_admin_cluster","dsh_partner_store_maintenance_workspace","medium","Donor mixes partner and CONTROL_PANEL/admin ownership here; clean target model narrows or defers it."
"dsh_store_products","STORE","ACTIVE","no","app-client","control-panel","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_store_products","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","dsh_store_discovery","covered","dsh_client_category_or_store_detail","dsh_client_category_or_store_detail","high","Store detail and item selection family."
"dsh_subscription_family_get","STORE","ACTIVE","no","app-client","app-client","True","10","True","True","True","True","True","True","True","True","True","True","True","PLANNED_dsh_subscription_family_get","/dsh/planned","APP_CLIENT","PLANNED_ONLY","","","","legacy_client_loyalty_subscription_marketing","move_to_legacy","dsh_client_loyalty_subscription_marketing_cluster","","high","Loyalty, promo, and subscription extras are outside current first-service truth."
