"queue_order","wave_id","item_id","item_type","canonical_name","surface","screen_group","execution_strategy","implementation_action","owner_layer","target_repo_path","files_to_touch","depends_on","opens_next","ui_kit_prereq","contract_prereq","binding_prereq","runtime_prereq","acceptance_gate","status","blocked_by","notes"
"36","W02_PROXY_USER_FLOW","SCR_96","screen","dsh_delivery_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q37","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"37","W02_PROXY_USER_FLOW","SCR_97","screen","dsh_delivery_reassign","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q38","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"38","W02_PROXY_USER_FLOW","SCR_98","screen","dsh_delivery_track_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q39","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"39","W02_PROXY_USER_FLOW","SCR_102","screen","dsh_external_order_create","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q40","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"40","W02_PROXY_USER_FLOW","SCR_105","screen","dsh_gas_refill_order_create","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q41","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"41","W02_PROXY_USER_FLOW","SCR_108","screen","dsh_loyalty_points_redeem","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q42","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"42","W02_PROXY_USER_FLOW","SCR_109","screen","dsh_loyalty_points_user_balance","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q43","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"43","W02_PROXY_USER_FLOW","SCR_110","screen","dsh_loyalty_points_user_history","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q44","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"44","W02_PROXY_USER_FLOW","SCR_111","screen","dsh_order_accept","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q45","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"45","W02_PROXY_USER_FLOW","SCR_112","screen","dsh_order_cancel","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q46","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"46","W02_PROXY_USER_FLOW","SCR_113","screen","dsh_order_complete","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q47","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"47","W02_PROXY_USER_FLOW","SCR_114","screen","dsh_order_create","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q48","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"48","W02_PROXY_USER_FLOW","SCR_115","screen","dsh_order_escrow_hold","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q49","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"49","W02_PROXY_USER_FLOW","SCR_116","screen","dsh_order_escrow_release","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q50","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"50","W02_PROXY_USER_FLOW","SCR_117","screen","dsh_order_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q51","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"51","W02_PROXY_USER_FLOW","SCR_118","screen","dsh_order_issue_flag","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q52","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"52","W02_PROXY_USER_FLOW","SCR_119","screen","dsh_order_proof_code_generate","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q53","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"53","W02_PROXY_USER_FLOW","SCR_120","screen","dsh_order_proof_verify","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q54","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"54","W02_PROXY_USER_FLOW","SCR_121","screen","dsh_order_rate","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q55","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"55","W02_PROXY_USER_FLOW","SCR_122","screen","dsh_order_receipt_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q56","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"56","W02_PROXY_USER_FLOW","SCR_123","screen","dsh_order_status_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q57","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"57","W02_PROXY_USER_FLOW","SCR_124","screen","dsh_order_status_update","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q58","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"58","W02_PROXY_USER_FLOW","SCR_125","screen","dsh_orders_list","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q59","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"59","W02_PROXY_USER_FLOW","SCR_126","screen","dsh_pricing_preview","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q60","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"60","W02_PROXY_USER_FLOW","SCR_127","screen","dsh_pricing_snapshot_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q61","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"61","W02_PROXY_USER_FLOW","SCR_128","screen","dsh_promo_apply","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q62","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"62","W02_PROXY_USER_FLOW","SCR_129","screen","dsh_proxy_request_approve","app-client","client_proxy_flow","contract_first_binding_first","bind_then_surface","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q63","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"63","W02_PROXY_USER_FLOW","SCR_130","screen","dsh_proxy_request_review","app-client","client_proxy_flow","contract_first_binding_first","bind_then_surface","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q64","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"64","W02_PROXY_USER_FLOW","SCR_131","screen","dsh_proxy_request_tracking","app-client","client_proxy_flow","contract_first_binding_first","bind_then_surface","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q65","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"65","W02_PROXY_USER_FLOW","SCR_132","screen","dsh_review_create","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q66","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"66","W02_PROXY_USER_FLOW","SCR_133","screen","dsh_reviews_list","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q67","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"67","W02_PROXY_USER_FLOW","SCR_136","screen","dsh_shein_info","app-client","client_proxy_flow","contract_first_binding_first","bind_then_surface","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q68","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"68","W02_PROXY_USER_FLOW","SCR_140","screen","dsh_subscription_family_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q69","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"69","W02_PROXY_USER_FLOW","SCR_141","screen","dsh_subscription_family_members_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q70","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"70","W02_PROXY_USER_FLOW","SCR_142","screen","dsh_subscription_family_members_post","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q71","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"71","W02_PROXY_USER_FLOW","SCR_143","screen","dsh_subscription_pro_catalog","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q72","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"72","W02_PROXY_USER_FLOW","SCR_144","screen","dsh_subscription_sync","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q73","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"73","W02_PROXY_USER_FLOW","SCR_145","screen","dsh_subscription_tier_get","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q74","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"74","W02_PROXY_USER_FLOW","SCR_146","screen","dsh_subscription_upgrade_post","app-client","client_order_lifecycle","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q75","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"75","W03_CONTROL_PANEL_PROXY","SCR_163","screen","admin_dsh_store_items_list_screen","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q76","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"76","W03_CONTROL_PANEL_PROXY","SCR_169","screen","arrival_bell_settings_screen","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q77","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"77","W03_CONTROL_PANEL_PROXY","SCR_164","screen","dsh_cart_item_add_screen","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q78","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"78","W03_CONTROL_PANEL_PROXY","SCR_165","screen","dsh_delivery_reassign_screen","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q79","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"79","W03_CONTROL_PANEL_PROXY","SCR_10","screen","dsh_finance_dsh","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q80","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"80","W03_CONTROL_PANEL_PROXY","SCR_14","screen","dsh_operations_dsh","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q81","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"81","W03_CONTROL_PANEL_PROXY","SCR_11","screen","dsh_operations_dsh_arrival-bell","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q82","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"82","W03_CONTROL_PANEL_PROXY","SCR_13","screen","dsh_operations_dsh_orders","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q83","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
"83","W03_CONTROL_PANEL_PROXY","SCR_12","screen","dsh_operations_dsh_orders_[id]","control-panel","control_general_ops","rebuild_clean_ui_first","build_surface_then_bind","packages/surfaces","packages/surfaces/src/dsh","surface component + hook + route shell","W00_FOUNDATION","Q84","required","as_needed","as_needed","no","A+B+C","seed_ready","","generated from donor screen registry"
