"operation_id","canonical_chain","raw_bypasses_forbidden","verification_rule","current_status"
"dsh_field_store_visit_log","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_generate_analytics_report","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_get_dashboard_metrics","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_listing_status_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_loyalty_points_redeem","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_loyalty_points_user_balance","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_loyalty_points_user_history","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_accept","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_complete","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_escrow_hold","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_escrow_release","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_issue_flag","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_proof_code_generate","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_proof_verify","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_rate","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_receipt_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_order_status_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_orders_list","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_chat_read_ack","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_chat_send","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_delivery_zones_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_doc_upload","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_hours_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_identity_submit","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_intake_start","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_inventory_adjust","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_inventory_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_items_upsert","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_manager_invite","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_order_handoff","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_quick_reply_config_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_quick_reply_post","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_quick_reply_setup","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_quick_reply_webhook_post","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_store_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_store_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_store_service_modes_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_store_status_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_store_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_subscription_analytics_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_subscription_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_partner_subscription_upgrade_post","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_pricing_preview","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_pricing_snapshot_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_promo_apply","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_proxy_request_approve","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_proxy_request_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_proxy_request_estimate","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_proxy_request_offer","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_proxy_request_reject","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_proxy_request_schedule","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_review_create","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_service_modes_resolve","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_store_commission_set","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_store_fulfillment_profile_update","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_store_modes_set","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_store_products","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_store_service_modes_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_store_zones_set","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_bundles_list","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_categories_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_family_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_family_members_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_family_members_post","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_sync","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_tier_get","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_subscription_upgrade_post","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
"dsh_zone_set","screen -> viewmodel -> api-client -> service-method -> contract","yes","must have chain evidence in test/proof","seeded_locked"
