operationId,service,category,description,status,implemented,rbac_domain,surfaces_mobile,surfaces_web_control_panel,runtime_vars,preconditions_count,postconditions_count,error_scenarios_count,phase,gate
dsh_entitlements_get,DSH,DSH_GENERAL,dsh_entitlements_get — GET /api/dsh/entitlements,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_external_order_create,DSH,ORDER,dsh_external_order_create — POST /api/dsh/external-orders,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_proxy_request_create,DSH,SHEIN_PROXY,dsh_proxy_request_create — POST /api/dsh/proxy-request,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_proxy_request_estimate,DSH,SHEIN_PROXY,dsh_proxy_request_estimate — PATCH /api/dsh/proxy-request/{id}/estimate,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_proxy_request_offer,DSH,SHEIN_PROXY,dsh_proxy_request_offer — PATCH /api/dsh/proxy-request/{id}/offer,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_proxy_request_approve,DSH,SHEIN_PROXY,dsh_proxy_request_approve — POST /api/dsh/proxy-request/{id}/approve,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_proxy_request_reject,DSH,SHEIN_PROXY,dsh_proxy_request_reject — POST /api/dsh/proxy-request/{id}/reject,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_proxy_request_schedule,DSH,SHEIN_PROXY,dsh_proxy_request_schedule — PATCH /api/dsh/proxy-request/{id}/schedule,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_field_store_activation_request,DSH,FIELD,dsh_field_store_activation_request — POST /api/dsh/field/stores/{store_id}/activation-request,ACTIVE,yes,RBAC_DSH,app-field,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_field_store_geo_pin,DSH,FIELD,dsh_field_store_geo_pin — POST /api/dsh/field/stores/{store_id}/geo,ACTIVE,yes,RBAC_DSH,app-field,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_field_store_visit_log,DSH,FIELD,dsh_field_store_visit_log — POST /api/dsh/field/stores/{store_id}/visits,ACTIVE,yes,RBAC_DSH,app-field,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_loyalty_points_redeem,DSH,STORE,dsh_loyalty_points_redeem — POST /api/dsh/loyalty/points/redeem,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_loyalty_points_user_balance,DSH,STORE,dsh_loyalty_points_user_balance — GET /api/dsh/loyalty/points/user/{user_id}/balance,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_loyalty_points_user_history,DSH,STORE,dsh_loyalty_points_user_history — GET /api/dsh/loyalty/points/user/{user_id}/history,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_issue_flag,DSH,ORDER,dsh_order_issue_flag — POST /api/dsh/orders/{order_id}/issues,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_proof_code_generate,DSH,ORDER,dsh_order_proof_code_generate — POST /api/dsh/orders/{order_id}/proof/code,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_proof_verify,DSH,ORDER,dsh_order_proof_verify — POST /api/dsh/orders/{order_id}/proof/verify,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_chat_read_ack,DSH,PARTNER,dsh_partner_chat_read_ack — POST /api/dsh/partner/orders/{order_id}/chat/read-ack,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_chat_send,DSH,PARTNER,dsh_partner_chat_send — POST /api/dsh/partner/orders/{order_id}/chat/messages,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_delivery_zones_update,DSH,PARTNER,dsh_partner_delivery_zones_update — POST /api/dsh/partner/store/zones,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_doc_upload,DSH,PARTNER,dsh_partner_doc_upload — POST /api/dsh/partners/{partner_id}/documents,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_hours_update,DSH,PARTNER,dsh_partner_hours_update — POST /api/dsh/partner/store/hours,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_identity_submit,DSH,PARTNER,dsh_partner_identity_submit — POST /api/dsh/partners/{partner_id}/identity,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_intake_start,DSH,PARTNER,dsh_partner_intake_start — POST /api/dsh/partners/intake,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_inventory_adjust,DSH,PARTNER,dsh_partner_inventory_adjust — POST /api/dsh/partners/me/inventory/adjust,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_inventory_update,DSH,PARTNER,dsh_partner_inventory_update — POST /api/dsh/partner/stores/{storeId}/inventory,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_items_upsert,DSH,PARTNER,dsh_partner_items_upsert — POST /api/dsh/partner/items/upsert,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_manager_invite,DSH,PARTNER,dsh_partner_manager_invite — POST /api/dsh/partners/{partner_id}/users/invite,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_quick_reply_config_get,DSH,PARTNER,dsh_partner_quick_reply_config_get — GET /api/dsh/partner/quick-reply/config,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_quick_reply_post,DSH,PARTNER,dsh_partner_quick_reply_post — POST /api/dsh/partner/orders/{order_id}/reject,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_quick_reply_setup,DSH,PARTNER,dsh_partner_quick_reply_setup — POST /api/dsh/partner/quick-reply/setup,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_quick_reply_webhook_post,DSH,PARTNER,dsh_partner_quick_reply_webhook_post — POST /api/dsh/partner/quick-reply/webhook,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_store_create,DSH,PARTNER,dsh_partner_store_create — POST /api/dsh/partner/stores,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_store_get,DSH,PARTNER,dsh_partner_store_get — GET /api/dsh/partner/profile,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_store_update,DSH,PARTNER,dsh_partner_store_update — PATCH /api/dsh/partner/profile,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_store_service_modes_update,DSH,PARTNER,dsh_partner_store_service_modes_update — POST /api/dsh/partner/store/service-modes,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_store_status_update,DSH,PARTNER,dsh_partner_store_status_update — POST /api/dsh/partner/store/status,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_order_handoff,DSH,PARTNER,dsh_partner_order_handoff — POST /api/dsh/partner/orders/{order_id}/handoff (تسليم للكابتن — توصيل المنصة),ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_order_out_for_delivery,DSH,PARTNER,dsh_partner_order_out_for_delivery — POST /api/dsh/partner/orders/{order_id}/out-for-delivery (توصيل الشريك: خرج للتوصيل),ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_order_store_delivered,DSH,PARTNER,dsh_partner_order_store_delivered — POST /api/dsh/partner/orders/{order_id}/store-delivered (توصيل الشريك: تم التسليم),ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_subscription_analytics_get,DSH,PARTNER,dsh_partner_subscription_analytics_get — GET /api/dsh/partner/subscription/analytics,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_subscription_get,DSH,PARTNER,dsh_partner_subscription_get — GET /api/dsh/partner/subscription,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_partner_subscription_upgrade_post,DSH,PARTNER,dsh_partner_subscription_upgrade_post — POST /api/dsh/partner/subscription/upgrade,ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_pricing_preview,DSH,ORDER,dsh_pricing_preview — POST /api/dsh/pricing/preview,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_pricing_snapshot_get,DSH,STORE,dsh_pricing_snapshot_get — GET /api/dsh/pricing/snapshots/{snapshot_id},ACTIVE,no,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_promo_apply,DSH,DSH_GENERAL,dsh_promo_apply — GET /api/dsh/external-orders/{externalOrderId} (deprecated; SHEIN=proxy-request),DEPRECATED,yes,RBAC_DSH,,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_service_modes_resolve,DSH,DSH_GENERAL,dsh_service_modes_resolve — POST /api/dsh/service-modes/resolve,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_store_commission_set,DSH,STORE,dsh_store_commission_set — PUT /api/dsh/stores/{store_id}/commission,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_store_fulfillment_profile_update,DSH,STORE,dsh_store_fulfillment_profile_update — PUT /api/dsh/stores/{store_id}/fulfillment-profile,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_store_modes_set,DSH,STORE,dsh_store_modes_set — PUT /api/dsh/stores/{store_id}/delivery-modes,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_store_service_modes_get,DSH,STORE,dsh_store_service_modes_get — GET /api/dsh/stores/{store_id}/service-modes,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_store_zones_set,DSH,STORE,dsh_store_zones_set — PUT /api/dsh/stores/{store_id}/zones,ACTIVE,yes,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_store_products,DSH,STORE,dsh_store_products — GET /api/dsh/store/{storeId}/products,ACTIVE,no,RBAC_DSH,app-client,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_family_get,DSH,STORE,dsh_subscription_family_get — GET /api/dsh/subscriptions/family/{family_id},ACTIVE,no,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_family_members_get,DSH,STORE,dsh_subscription_family_members_get — GET /api/dsh/subscriptions/family/{family_id}/members,ACTIVE,no,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_family_members_post,DSH,STORE,dsh_subscription_family_members_post — POST /api/dsh/subscriptions/family/{family_id}/members,ACTIVE,no,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_sync,DSH,STORE,dsh_subscription_sync — POST /api/dsh/subscriptions/sync,ACTIVE,no,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_categories_get,DSH,STORE,dsh_subscription_categories_get — GET /api/dsh/subscriptions/categories (بثواني برو — فئات),ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_bundles_list,DSH,STORE,dsh_subscription_bundles_list — GET /api/dsh/subscriptions/bundles?category_id= (بثواني برو — باقات),ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_tier_get,DSH,STORE,dsh_subscription_tier_get — GET /api/dsh/subscriptions/{tier},ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_subscription_upgrade_post,DSH,STORE,dsh_subscription_upgrade_post — POST /api/dsh/subscriptions/upgrade,ACTIVE,no,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_zone_set,DSH,STORE,dsh_zone_set — POST /api/dsh/zone/set (نطاق التوصيل — شريك/لوحة التحكم),ACTIVE,yes,RBAC_DSH,app-partner,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_status_update,DSH,ORDER,dsh_order_status_update — PUT /api/dsh/orders/{orderId}/status,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_listing_status_update,DSH,DSH_GENERAL,dsh_listing_status_update — PUT /api/dsh/listings/{listingId}/status,ACTIVE,yes,RBAC_DSH,app-partner,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_auction_status_update,DSH,DSH_GENERAL,dsh_auction_status_update — PUT /api/dsh/auctions/{auctionId}/status,ACTIVE,yes,RBAC_DSH,app-partner,app-partner,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_tier_evaluate,DSH,CAPTAIN,dsh_captain_tier_evaluate — POST /api/dsh/captains/{captainId}/tier/evaluate,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_captain_tier_info,DSH,CAPTAIN,dsh_captain_tier_info — GET /api/dsh/captains/{captainId}/tier,ACTIVE,yes,RBAC_DSH,app-captain,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_escrow_hold,DSH,ORDER,dsh_order_escrow_hold — POST /api/dsh/orders/{orderId}/escrow/hold,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_escrow_release,DSH,ORDER,dsh_order_escrow_release — POST /api/dsh/orders/{orderId}/escrow/release,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_cart_init,DSH,ORDER,dsh_cart_init — POST /api/dsh/cart/init,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_cart_get,DSH,ORDER,dsh_cart_get — GET /api/dsh/cart,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_cart_item_add,DSH,ORDER,dsh_cart_item_add — POST /api/dsh/cart/items,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_cart_item_update,DSH,ORDER,dsh_cart_item_update — PUT /api/dsh/cart/items,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_cart_item_remove,DSH,ORDER,dsh_cart_item_remove — DELETE /api/dsh/cart/items,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_delivery_attempt_create,DSH,ORDER,dsh_delivery_attempt_create — POST /api/dsh/deliveries/{deliveryId}/attempt,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_delivery_eta_get,DSH,ORDER,dsh_delivery_eta_get — GET /api/dsh/deliveries/{deliveryId}/eta,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_delivery_reassign_request,DSH,ORDER,dsh_delivery_reassign_request — POST /api/dsh/deliveries/{deliveryId}/reassign,ACTIVE,yes,RBAC_DSH,,control-panel,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_delivery_track_get,DSH,ORDER,dsh_delivery_track_get — GET /api/dsh/deliveries/{deliveryId}/track,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_booking_create,DSH,ORDER,dsh_booking_create — POST /api/dsh/bookings,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_estimate_create,DSH,ORDER,dsh_estimate_create — POST /api/dsh/estimates,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_estimate_get,DSH,ORDER,dsh_estimate_get — GET /api/dsh/estimates/{estimateId},ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_rate,DSH,ORDER,dsh_order_rate — POST /api/dsh/orders/{order_id}/rate,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_receipt_get,DSH,ORDER,dsh_order_receipt_get — GET /api/dsh/orders/{order_id}/receipt,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_review_create,DSH,ORDER,dsh_review_create — POST /api/dsh/reviews,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_create,DSH,ORDER,dsh_order_create — POST /api/dsh/orders,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_accept,DSH,ORDER,dsh_order_accept — POST /api/dsh/orders/{orderId}/accept,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_orders_list,DSH,ORDER,dsh_orders_list — GET /api/dsh/orders,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
dsh_order_complete,DSH,ORDER,dsh_order_complete — POST /api/dsh/orders/{orderId}/complete,ACTIVE,yes,RBAC_DSH,app-client,app-client,,0,0,0,P50_SHELLS_SURFACES,GATE_DSH_SERVICE_IMPLEMENTATION
