"Operation","Classification","Reason","SurfacesFound"
"auto_dsh_partner_order_handoff","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_issue_queue","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_out_for_delivery","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_prepare","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_ready","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_reject","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_order_store_delivered","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_orders_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_profile_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_quick_reply_config_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_quick_reply_settings","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_quick_reply_setup","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_staff_analytics_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_store_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_store_nomination","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_store_service_modes_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_store_status_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_store_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_subscription","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_partner_zone_set","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_pricing_preview","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_pricing_snapshot_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_promo_apply","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_proxy_request_approve","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_proxy_request_review","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_proxy_request_tracking","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_review_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_reviews_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_search","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_service_modes_resolve","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_shein_info","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_store_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_store_items_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_stores_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_family_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_family_members_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_family_members_post","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_pro_catalog","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_sync","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_tier_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_subscription_upgrade_post","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"auto_dsh_zone_set","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"banner-carousel.runtime","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"browserslist","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainEarningsHistory","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainFinancialReports","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainOrderDetails","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainOrders","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainPayments","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainSettlements","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainTierInfo","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"captainWallet","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"CategoryClockDial","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"categoryGet","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"chatSend","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"checkoutConstants","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"checkoutGate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"clients","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"clients.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"deliveryModes","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_APP_CLIENT_BACKLOG","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_COVERAGE_MATRIX","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_delivery_position_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_MCPW_SECTION_MAP","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_OPERATION_CATALOG","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_partner_quick_reply_webhook_post","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_partner_subscription_analytics_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_proxy_request_approve","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_proxy_request_create","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_proxy_request_estimate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_proxy_request_offer","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_proxy_request_reject","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_proxy_request_schedule","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_RBAC_MATRIX","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_RUNTIME_VARS","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_SEAL_STATUS","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_SERVICE_SCOPE","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_SERVICE_SEAL_STATUS","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_store_commission_set","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_store_fulfillment_profile_update","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_store_modes_set","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_store_service_modes_get","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_store_zones_set","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh_subscription_bundles_list","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_SURFACES_PARITY_BACKLOG","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_TRACEABILITY","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_TRACEABILITY_MATRIX","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_UNIFIED_OPERATIONS_REFERENCE","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DSH_UX_FLOW","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-captain-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-captain-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-captain-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-captain-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-cart-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-cart-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-cart-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-cart-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-field-partner-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-field-partner-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-field-partner-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-field-partner-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-gas-refill-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-gas-refill-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-gas-refill-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-gas-refill-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-operations-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-operations-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-operations-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-operations-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-orders-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-orders-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-orders-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-orders-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-shein.service","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-stores-api","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-stores-api.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-stores-api.d.ts","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-stores-api.js","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh-thunks","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh.controller","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh.module","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dsh.service.test","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshBannersList","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCartPrice","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCategoriesList","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dshCategoriesSeed","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCategoryDetail","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCheckoutPaymentMethodSelect","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCustomerPreferencesDetail","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCustomerProfileDetail","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshCustomerProfileUpdate","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dshHomeApi","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dshHomeRepository","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dshHomeSeed","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"dshHomeTypes","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshOrdersCreateScreen","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshPartnerOrderAcceptAltScreen","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshPartnerOrderChatMessageCreateScreen","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshPartnerOrderChatMessagesListScreen","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshPartnerOrderChatReadAckScreen","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshPartnerOrdersList","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"DshStoreItemsList","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"expo-location.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"favoritesList","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"gasRefill","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"getDshCategoryIconUrl","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"home","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"index","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"index.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"index.web","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"index.web.d","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"jest","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"jest.config","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"loadExpoLocation","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"Master_OpenAPI","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"orderCancel","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
"orderGet","ADD_NEW_MISSING","Operation exists in operation truth matrix but no linked donor surface screen was found",""
